N	3gram	Losev_Dial_1	formyVre
1	и т п	2	11
2	с точки зрения	12	8
3	в связи с	1	7
4	для того чтобы	1	7
5	вещей и явлений	2	6
6	то же время	4	4
7	в то же	4	4
8	друг с другом	1	4
9	и в особенности	1	3
10	и в то	2	3
11	точки зрения не	1	3
12	и в этом	3	3
13	во всех этих	1	3
14	в том что	7	3
15	и т д	19	3
16	то же самое	1	2
17	в их живой	1	2
18	до сих пор	2	2
19	сами по себе	1	2
20	и та же	2	2
21	не было бы	2	2
22	каждом из них	1	2
23	может быть и	3	2
24	бы она ни	1	2
25	и должно быть	1	2
26	она ни была	1	2
27	одна и та	2	2
28	жизнь и смерть	1	2
29	в этом отношении	2	2
30	связи с этим	1	2
31	это значит что	9	2
32	друг от друга	1	2
33	мир в котором	1	1
34	в чем не	1	1
35	было бы и	2	1
36	в той или	1	1
37	другой стороны в	1	1
38	в виду что	1	1
39	и чаще всего	1	1
40	на самом деле	2	1
41	дальше и не	1	1
42	есть прежде всего	1	1
43	так что в	1	1
44	и как он	1	1
45	все больше и	1	1
46	со всеми ее	1	1
47	только в том	1	1
48	они вовсе не	1	1
49	как то что	1	1
50	в конце концов	3	1
51	что он не	2	1
52	как мы увидим	1	1
53	все это мы	1	1
54	жизнь со всеми	1	1
55	первый взгляд может	1	1
56	она ни в	1	1
57	с другом в	1	1
58	богов и т	1	1
59	взгляд может показаться	1	1
60	одно и то	4	1
61	так как он	2	1
62	то время как	1	1
63	что в основе	1	1
64	таким образом и	1	1
65	с одной стороны	2	1
66	на первый взгляд	1	1
67	можно говорить о	1	1
68	и то же	4	1
69	по сравнению с	2	1
70	прежде всего необходимо	2	1
71	это не значит	1	1
72	с другой стороны	4	1
73	не может быть	3	1
74	бы не было	1	1
75	но в то	1	1
76	в себе самом	2	1
77	у него и	1	1
78	ни в чем	2	1
79	но в конце	1	1
80	не был бы	1	1
81	могла быть только	1	1
82	в то время	1	1
83	чистом виде но	1	1
84	и в них	1	1
85	о том что	2	1
86	с самого начала	1	1
87	может показаться что	1	1
88	но все же	1	1
89	и только свет	1	1
90	можно сказать что	3	1
91	что они вовсе	1	1
92	больше и больше	1	1
93	к тому что	2	1
94	и в нем	2	1
95	нечего и говорить	1	1
96	той или иной	3	1
