N	3gram	Tiupa_Anal_3	RusskieA
1	в том что	7	18
2	в этом случае	1	6
3	в данном случае	3	6
4	для того чтобы	1	6
5	о том что	5	4
6	в отличие от	2	3
7	не может быть	1	3
8	подобно тому как	2	3
9	тем не менее	2	2
10	что иное как	1	2
11	состояла в том	1	2
12	между тем это	1	2
13	не что иное	1	2
14	в том чтобы	1	2
15	мы имеем не	1	2
16	с одной стороны	2	2
17	а между тем	1	1
18	к этому же	1	1
19	в тех случаях	1	1
20	цикла одна из	1	1
21	время они как	1	1
22	между тем как	1	1
23	в этом отношении	3	1
24	таким образом в	1	1
25	состоит не в	1	1
26	также что в	1	1
27	однако все эти	1	1
28	но и как	1	1
29	одна из наиболее	1	1
30	в применении к	1	1
31	с полной уверенностью	1	1
32	здесь мы имеем	1	1
33	во всяком случае	2	1
34	в состав этого	1	1
35	по своему происхождению	1	1
36	принадлежат к числу	1	1
37	всяком случае не	1	1
38	не только как	1	1
39	дело в том	2	1
40	с другой стороны	5	1
41	между собой и	1	1
42	в свою очередь	4	1
43	в связь с	1	1
44	в году все	1	1
45	можно сказать что	2	1
46	они как бы	1	1
47	тем более что	1	1
48	совершенно очевидно что	2	1
49	вопрос о том	1	1
50	тех случаях когда	1	1
51	во многих отношениях	1	1
52	дело не в	1	1
53	как и в	4	1
54	о чем речь	2	1
