N	4gram	Vinokur_Vv_1	Vladivir
1	дело в том что	2	4
2	в то же время	5	4
3	в том что в	1	2
4	мы имеем дело с	1	1
5	уже о том что	1	1
6	говоря уже о том	1	1
7	тех пор пока не	1	1
8	и в этом смысле	1	1
9	до тех пор пока	1	1
10	как мы уже знаем	1	1
11	одно и то же	1	1
12	не может быть никакой	1	1
13	не что иное как	4	1
14	не говоря уже о	1	1
15	так или иначе но	2	1
16	бы то ни было	1	1
17	и т д в	2	1
18	одной и той же	2	1
19	в том виде в	1	1
20	том виде в каком	1	1
21	есть не что иное	2	1
22	также и то что	1	1
23	но в то же	3	1
24	заключается в том чтобы	1	1
