N	2gram	Losev_Dial_4	RusskieA
1	и в	15	36
2	не только	8	22
3	том что	10	19
4	что в	7	19
5	в том	11	17
6	т е	46	17
7	но и	4	16
8	так как	14	15
9	в этом	11	12
10	и т	17	10
11	и на	5	10
12	в этот	2	10
13	это не	12	10
14	как и	7	10
15	как мы	1	10
16	вместе с	2	10
17	потому что	10	10
18	этот день	1	10
19	т д	15	9
20	об этом	3	9
21	а в	1	9
22	и по	2	8
23	с тем	4	8
24	у нас	3	8
25	о том	5	8
26	один из	4	8
27	из них	2	8
28	может быть	17	8
29	как это	2	8
30	е в	2	8
31	что они	4	7
32	так и	5	7
33	что и	6	7
34	и других	1	7
35	мы не	9	6
36	в виде	3	6
37	таким образом	5	6
38	при этом	2	6
39	не имеет	14	6
40	уже не	9	6
41	в них	2	6
42	и не	30	6
43	все это	9	6
44	будто бы	1	6
45	то что	16	6
46	как в	3	5
47	все же	2	5
48	показывает что	2	5
49	в которых	1	5
50	того как	2	5
51	как будто	2	5
52	с ними	4	5
53	и у	1	5
54	одно из	1	5
55	в течение	4	5
56	как бы	14	5
57	этом случае	1	5
58	г в	1	4
59	мы имеем	5	4
60	еще не	4	4
61	во всех	2	4
62	что по	2	4
63	входит в	1	4
64	из этих	2	4
65	в их	3	4
66	что этот	2	4
67	вплоть до	1	4
68	одна из	1	4
69	связи с	1	4
70	что на	2	4
71	и что	9	4
72	и их	2	4
73	тем что	2	4
74	того что	13	4
75	по существу	1	4
76	но это	4	4
77	в связи	1	4
78	не может	11	4
79	только в	7	4
80	к этому	3	4
81	то на	3	3
82	их и	1	3
83	представление о	2	3
84	в своем	5	3
85	не можем	1	3
86	что это	13	3
87	думать что	2	3
88	связанные с	1	3
89	на этом	3	3
90	то же	9	3
91	но все	2	3
92	и день	1	3
93	чаще всего	1	3
94	в москве	1	3
95	священной истории	1	3
96	точки зрения	14	3
97	к тем	1	3
98	с точки	9	3
99	она в	3	3
100	тем не	2	3
101	но они	2	3
102	их в	1	3
103	не менее	2	3
104	в разных	2	3
105	ничего не	17	3
106	можно сделать	1	3
107	к жизни	3	3
108	от них	1	3
109	в качестве	2	3
110	в одном	4	3
111	также на	1	3
112	в области	3	3
113	и из	2	3
114	на этот	1	3
115	так же	4	3
116	в это	1	3
117	в целях	2	3
118	в свою	3	3
119	можно говорить	2	2
120	переход от	1	2
121	но тем	1	2
122	за все	1	2
123	к другому	1	2
124	но она	1	2
125	что иное	8	2
126	их к	1	2
127	как не	2	2
128	это время	1	2
129	в ней	5	2
130	иное как	8	2
131	природы и	2	2
132	на самом	1	2
133	значение и	1	2
134	к слову	1	2
135	не просто	7	2
136	отнюдь не	4	2
137	что именно	7	2
138	с этим	3	2
139	мы можем	3	2
140	хотя и	6	2
141	и как	4	2
142	но в	3	2
143	та же	3	2
144	все эти	3	2
145	в нашем	1	2
146	в дальнейшем	1	2
147	как он	1	2
148	что она	5	2
149	в нем	5	2
150	и лучше	1	2
151	всех этих	1	2
152	не значит	2	2
153	в силу	4	2
154	его от	1	2
155	же не	1	2
156	главным образом	2	2
157	и с	4	2
158	с целью	1	2
159	в жизни	5	2
160	чтобы они	1	2
161	такой же	1	2
162	в один	3	2
163	как символ	1	2
164	далее в	2	2
165	если угодно	3	2
166	и более	1	2
167	том же	1	2
168	для этого	2	2
169	в древней	1	2
170	этого мало	1	2
171	она не	4	2
172	они же	1	2
173	именно с	1	2
174	а мы	1	2
175	не знали	1	2
176	и здесь	1	2
177	могут быть	3	2
178	они и	1	2
179	день и	2	2
180	ничего общего	4	2
181	как они	1	2
182	свою очередь	2	2
183	мы наблюдаем	1	2
184	с ним	3	2
185	находится в	2	2
186	на все	2	2
187	на что	2	2
188	после того	1	2
189	должно было	1	2
190	в его	4	2
191	них в	1	2
192	в свете	5	2
193	значит что	9	2
194	этот вопрос	1	2
195	их не	1	2
196	так что	6	2
197	сомнений в	1	2
198	его и	1	2
199	и нового	1	2
200	но что	5	2
201	тут же	1	2
202	он так	1	2
203	не было	2	2
204	в особенности	4	2
205	не были	1	2
206	такое же	1	2
207	себя и	3	2
208	но есть	1	2
209	и пр	9	2
210	только по	1	2
211	до конца	1	2
212	а не	18	2
213	его как	2	2
214	в частности	2	2
215	и потому	3	2
216	судить по	1	2
217	быть и	3	2
218	только для	3	2
219	судить о	1	2
220	мы видим	4	2
221	и для	5	2
222	не объясняет	2	2
223	или в	7	2
224	когда он	3	2
225	мы должны	4	2
226	не что	8	2
227	в своих	1	2
228	говоря о	1	1
229	не думает	2	1
230	также и	4	1
231	о каких	1	1
232	же как	1	1
233	чтобы не	1	1
234	ныне и	1	1
235	переходит к	1	1
236	во-первых он	1	1
237	не кто-нибудь	1	1
238	а из	1	1
239	только потому	3	1
240	тех же	2	1
241	зависимости от	1	1
242	и ее	8	1
243	должна быть	7	1
244	собственном смысле	2	1
245	видеть в	1	1
246	чем именно	1	1
247	формы их	1	1
248	приходит к	1	1
249	мы уже	3	1
250	указать что	1	1
251	что если	3	1
