N	3gram	Savitsky_E_1	PoTuStor
1	с точки зрения	16	6
2	в этом смысле	3	3
3	по сравнению с	2	3
4	во всяком случае	3	3
5	не может быть	2	3
6	можно сказать что	3	3
7	в большинстве случаев	2	3
8	нам кажется что	2	2
9	так же как	5	2
10	не могут быть	1	2
11	в переводе на	1	2
12	мы можем сказать	2	2
13	и в этом	4	2
14	и того же	1	1
15	и на своем	2	1
16	было связано с	1	1
17	дело в том	1	1
18	в нем и	1	1
19	через некоторое время	1	1
20	одного и того	1	1
21	во многих случаях	1	1
22	же как и	3	1
23	бы то ни	4	1
24	и та же	1	1
25	в этом отношении	3	1
26	лучшим доказательством правильности	1	1
27	можно было бы	3	1
28	рано или поздно	2	1
29	вопрос можно ли	1	1
30	с этой точки	5	1
31	переводе на язык	1	1
32	можно ли признать	1	1
33	в данном случае	2	1
34	то ни было	4	1
35	с одной стороны	8	1
36	в связи с	1	1
37	каких бы то	2	1
38	в применении к	3	1
39	так и с	1	1
40	существует только в	1	1
41	уже и теперь	1	1
42	в известных пределах	2	1
43	в том что	6	1
44	этой точки зрения	5	1
45	мы не можем	1	1
46	говорить о том	1	1
47	так и в	2	1
48	чтобы войти в	1	1
49	связи с этим	1	1
50	одна и та	1	1
51	прежде всего к	2	1
52	и даже более	1	1
53	и прежде всего	3	1
54	может быть речи	1	1
55	в известной степени	3	1
56	он не дает	1	1
57	и ту же	1	1
58	в том смысле	1	1
59	в основных чертах	1	1
60	друг с другом	3	1
61	для того чтобы	5	1
62	одну и ту	1	1
63	можем сказать что	1	1
64	мы увидим что	1	1
65	той или иной	4	1
66	те же законы	1	1
