N	3gram	Bakhtin_Pr_1	Istorich
1	и т д	1	16
2	с другой стороны	4	8
3	не только в	2	5
4	с одной стороны	3	4
5	тем не менее	3	4
6	в том что	3	4
7	уже выше в	1	3
8	то что в	1	3
9	что и здесь	1	3
10	не может быть	11	3
11	в данном случае	4	3
12	то время как	1	2
13	и в других	1	2
14	но и в	2	2
15	на этот вопрос	1	2
16	до сих пор	1	2
17	может быть понят	1	2
18	так и в	2	2
19	а в том	1	2
20	в то время	1	2
21	от всех других	1	2
22	как и в	1	2
23	о том как	1	1
24	выше в главе	1	1
25	там где оно	2	1
26	нуждается ни в	1	1
27	хотя и не	1	1
28	она никогда не	1	1
29	самом деле и	1	1
30	же значение имеет	1	1
31	с точки зрения	6	1
32	оно может быть	1	1
33	а не с	1	1
34	по отношению к	19	1
35	и может быть	1	1
36	в самом деле	3	1
37	еще не вполне	1	1
38	здесь прежде всего	1	1
39	то же самое	2	1
40	в нем и	1	1
41	но далеко не	1	1
42	и должны быть	2	1
43	во всех видах	1	1
44	в иных случаях	3	1
45	не входит в	4	1
46	и в современной	1	1
47	бы то ни	3	1
48	как мы увидим	3	1
49	и т п	13	1
50	в большинстве случаев	5	1
51	только там где	2	1
52	можно было бы	3	1
53	как мы уже	1	1
54	видит в них	1	1
55	а иногда и	1	1
56	на которую претендует	1	1
57	и не в	1	1
58	и что не	1	1
59	показать что и	1	1
60	в таких случаях	1	1
61	входит в наши	1	1
62	другой же стороны	2	1
63	в некоторых случаях	1	1
64	к нему здесь	1	1
65	то ни было	2	1
66	и в иных	1	1
67	имеем дело с	1	1
68	в связи с	1	1
69	в наши задачи	1	1
70	в связи со	1	1
71	не может и	2	1
72	не нуждается ни	1	1
73	не в его	1	1
74	вопрос о том	1	1
75	в один момент	1	1
76	таким образом и	1	1
77	всем искусствам и	1	1
78	конечно не в	1	1
79	мы можем назвать	1	1
80	как в других	2	1
81	к тому что	1	1
82	дело конечно не	1	1
83	она не может	1	1
84	с другой же	2	1
85	правда это не	1	1
