N	3gram	Losev_Vlad_2	PoTuStor
1	с точки зрения	3	6
2	с самого начала	1	4
3	в этом смысле	1	3
4	до сих пор	1	3
5	по крайней мере	4	3
6	во всяком случае	6	3
7	не может быть	1	3
8	можно сказать что	1	3
9	нам кажется что	2	2
10	в самом деле	1	2
11	но в общем	1	2
12	нет никаких оснований	1	2
13	о том что	3	2
14	то что я	1	1
15	жизни и деятельности	1	1
16	без всякого участия	1	1
17	его жизни в	1	1
18	прежде всего на	1	1
19	дело в том	3	1
20	но даже и	1	1
21	во многих случаях	1	1
22	как это делает	1	1
23	на первый план	2	1
24	как мы сказали	2	1
25	бы то ни	1	1
26	сказать что для	1	1
27	а может быть	1	1
28	в этом отношении	1	1
29	а в конце	1	1
30	можно было бы	2	1
31	вместе с тем	1	1
32	именно здесь в	1	1
33	в данном случае	2	1
34	в своей первой	1	1
35	очень важный момент	1	1
36	в высшей степени	1	1
37	в связи с	8	1
38	в году в	1	1
39	человек не может	2	1
40	то что можно	1	1
41	с ним и	1	1
42	но вместе с	1	1
43	в свое время	1	1
44	в том что	9	1
45	нельзя сказать о	1	1
46	лучше всего и	1	1
47	и ни в	1	1
48	вместе с ним	1	1
49	что в этой	1	1
50	его отношение к	1	1
51	еще в году	1	1
52	связи с этим	1	1
53	и прежде всего	1	1
54	что иное как	1	1
55	и как мы	2	1
56	не что иное	1	1
57	для того чтобы	1	1
58	и можно сказать	1	1
59	как мы знаем	4	1
