N	2gram	Bakhtin_Fr_4	PoTuStor
1	может быть	2	17
2	и в	29	16
3	в этом	11	9
4	таким образом	20	9
5	мы можем	3	9
6	прежде всего	8	9
7	и с	9	8
8	точки зрения	4	8
9	и его	8	8
10	не может	2	8
11	с его	4	7
12	не только	10	7
13	сказать что	5	7
14	самом деле	1	6
15	конечно не	4	6
16	при этом	3	6
17	с точки	2	6
18	и это	2	6
19	к отцу	1	6
20	для него	1	6
21	и к	2	6
22	еще не	4	5
23	в чем	3	5
24	отношение к	1	5
25	все эти	9	5
26	что такое	1	5
27	только для	4	5
28	ни в	2	5
29	в него	1	5
30	как бы	8	5
31	на самом	4	4
32	и ее	1	4
33	и на	11	4
34	и наконец	2	4
35	но в	12	4
36	в этой	13	4
37	в нем	5	4
38	его в	9	4
39	в один	2	4
40	мысли и	1	4
41	все это	4	4
42	самого начала	3	4
43	как мы	10	4
44	с ее	3	4
45	с самого	3	4
46	так и	11	4
47	но мы	2	4
48	можно сказать	1	4
49	в его	8	4
50	с ними	3	4
51	только в	2	4
52	для всех	1	4
53	и их	3	4
54	так как	7	4
55	и даже	3	4
56	но и	9	4
57	и не	16	4
58	и все	13	4
59	все что	1	4
60	отношения к	1	3
61	в общем	1	3
62	и есть	4	3
63	и как	3	3
64	с их	1	3
65	и вот	3	3
66	их в	2	3
67	на этом	2	3
68	на этой	2	3
69	том что	3	3
70	во время	10	3
71	сих пор	1	3
72	в одном	1	3
73	в основе	2	3
74	до сих	1	3
75	чем не	1	3
76	и оно	1	3
77	те же	1	3
78	мира и	4	3
79	на язык	1	3
80	в конечном	1	3
81	и она	1	3
82	в том	7	3
83	в большинстве	6	3
84	только на	1	3
85	большинстве случаев	5	3
86	мы знаем	1	3
87	и др	4	3
88	но оно	2	3
89	и потому	1	3
90	что в	1	3
91	в этих	2	3
92	то что	4	3
93	между ними	2	3
94	жизни и	4	3
95	ту же	1	2
96	нем нет	1	2
97	же как	1	2
98	в самом	1	2
