N	2gram	Vinokur_Vv_1	Komedia
1	и в	27	22
2	по адресу	1	14
3	т е	38	13
4	том что	26	12
5	в г	5	11
6	но и	5	11
7	в том	31	11
8	не только	21	10
9	в то	5	10
10	из них	3	10
11	и т	43	9
12	как и	5	9
13	может быть	24	9
14	таким образом	19	8
15	должны были	1	8
16	о том	15	8
17	и его	5	8
18	в одном	4	8
19	и не	13	8
20	в этой	3	7
21	и других	3	7
22	то же	8	6
23	тому же	1	6
24	не в	8	6
25	в отношении	2	6
26	в конце	3	6
27	одного из	1	6
28	что он	4	6
29	такого рода	2	6
30	к тому	4	6
31	а в	5	6
32	в которой	1	6
33	что в	11	6
34	до нас	3	5
35	в истории	9	5
36	как в	1	5
37	на его	1	5
38	при этом	3	5
39	во время	1	5
40	iv в	2	5
41	потому что	14	5
42	так и	1	5
43	еще в	1	5
44	и даже	5	5
45	между тем	8	5
46	один из	6	5
47	уже в	5	5
48	в его	10	5
49	прежде всего	8	5
50	т п	5	5
51	о которых	2	5
52	с другой	8	5
53	все это	6	5
54	другой стороны	5	5
55	из его	2	4
56	но в	10	4
57	в нем	13	4
58	т д	37	4
59	и вот	3	4
60	в другом	3	4
61	на протяжении	2	4
62	известно что	1	4
63	участие в	1	4
64	несмотря на	2	4
65	точки зрения	7	4
66	в котором	4	4
67	в их	11	4
68	так как	13	4
69	как мы	9	4
70	же время	5	4
71	в в	3	4
72	ясно что	9	4
73	а также	3	4
74	что и	3	4
75	в качестве	7	4
76	мы можем	2	4
77	тем что	6	4
78	именно в	8	4
79	и особенно	1	4
80	в результате	3	4
81	конце концов	2	4
82	же в	1	4
83	по поводу	1	4
84	к этому	3	4
85	речь идет	2	3
86	же как	3	3
87	в тех	2	3
88	мы не	2	3
89	и о	1	3
90	и на	3	3
91	в чем	4	3
92	с одной	4	3
93	в этом	34	3
94	все же	8	3
95	хотя и	3	3
96	и как	9	3
97	в целом	5	3
98	на то	1	3
99	главным образом	1	3
100	да и	4	3
101	и с	2	3
102	его в	6	3
103	чаще всего	1	3
104	в них	4	3
105	на основании	5	3
106	и ее	4	3
107	вопрос о	8	3
108	не менее	8	3
109	однако в	3	3
110	из числа	2	3
111	по отношению	4	3
112	того как	3	3
113	к этим	1	3
114	казалось бы	2	3
115	ничего не	2	3
116	за исключением	1	3
117	этом отношении	3	3
118	у нас	2	3
119	могут быть	4	3
120	и сам	2	3
121	во второй	3	3
122	после того	2	3
123	по содержанию	2	3
124	в частности	3	3
125	тот же	1	3
126	одной из	3	3
