N	3gram	Propp_Isto_6	Psycholo
1	для того чтобы	1	19
2	на то что	1	16
3	в том что	5	14
4	с одной стороны	7	12
5	в зависимости от	1	6
6	о том что	4	6
7	до сих пор	4	5
8	совершенно ясно что	1	5
9	с другой стороны	8	5
10	а с другой	1	4
11	вместе с тем	3	3
12	с тем что	1	3
13	на этот вопрос	1	3
14	и то что	1	3
15	одно и то	1	3
16	так как это	3	3
17	и то же	1	3
18	можно было бы	2	3
19	друг с другом	1	3
20	и т д	8	3
21	что иное как	1	2
22	мы видим в	1	2
23	в этом случае	6	2
24	на первый план	2	2
25	сейчас увидим что	1	2
26	потому что он	2	2
27	так же как	1	2
28	в данном случае	3	2
29	таким образом мы	1	2
30	не только в	4	2
31	с такой силой	1	2
32	мы сейчас увидим	1	2
33	достигает своего апогея	1	2
34	и когда он	1	2
35	не может быть	3	2
36	не что иное	1	2
37	можно сказать что	1	2
38	как бы в	1	2
39	том что она	1	1
40	котором говорится что	1	1
41	том что в	2	1
42	на том что	1	1
43	мы найдем достаточно	1	1
44	то это еще	1	1
45	только потому что	1	1
46	другой стороны он	2	1
47	как только мы	1	1
48	же не может	1	1
49	мы имеем в	4	1
50	по отношению к	2	1
51	более или менее	1	1
52	а в виде	1	1
53	том что он	1	1
54	влечет за собой	2	1
55	нам кажется что	1	1
56	одной стороны и	1	1
57	же как и	1	1
58	в одной из	1	1
59	о котором говорится	1	1
60	в другом месте	1	1
61	что между героем	1	1
62	ссылается на то	1	1
63	мы перейдем к	1	1
64	на том месте	1	1
65	мы находим в	1	1
66	только то что	2	1
67	в которых это	1	1
68	что в нем	2	1
69	к тому чтобы	1	1
70	то это означает	1	1
71	еще далеко не	1	1
72	и др в	1	1
73	с этой точки	1	1
74	то или иное	1	1
75	нет места для	1	1
76	не могло быть	2	1
77	то время как	3	1
78	он был бы	1	1
79	что между этими	1	1
80	как только он	1	1
81	в противоречие с	1	1
82	но еще не	1	1
83	на задний план	1	1
84	смысле этого слова	1	1
85	казалось бы что	1	1
86	потому что оно	1	1
87	так как они	1	1
88	как один из	1	1
89	т д мы	1	1
90	из которых как	1	1
91	и сейчас же	1	1
92	все же не	1	1
93	но вместе с	1	1
94	то что все	1	1
95	в то самое	2	1
96	что у него	1	1
97	потому что мы	1	1
98	но так как	3	1
99	и в том	1	1
100	состоят в том	1	1
101	этой точки зрения	1	1
102	в частности в	1	1
103	то что не	1	1
104	сих пор не	1	1
105	надо сказать что	1	1
106	и что от	1	1
107	и здесь с	1	1
108	в то время	3	1
109	одной стороны он	1	1
110	между героем и	1	1
111	после того как	2	1
112	в них всегда	1	1
113	речь идет о	1	1
114	мы с одной	1	1
115	мы видели что	3	1
116	в том смысле	1	1
117	один из исследователей	1	1
118	не только то	1	1
119	но как только	1	1
120	что у нас	1	1
121	и тем более	1	1
122	образом оказывается что	1	1
123	и этим он	1	1
124	что мы видим	1	1
