N	3gram	Berdyaev_M_2	KFilosof
1	по отношению к	2	21
2	не может быть	8	11
3	с точки зрения	1	10
4	не проникает в	1	4
5	в чем не	2	4
6	ни в чем	2	4
7	и в этом	3	3
8	между тем как	1	3
9	это не есть	1	3
10	есть лишь момент	2	3
11	в нем и	1	3
12	на самом деле	1	3
13	и для него	2	2
14	а не из	1	2
15	во всех своих	1	2
16	в том что	2	2
17	из себя в	1	2
18	той или иной	1	2
19	а не в	2	2
20	бы и не	1	2
21	не выходит из	1	1
22	не для того	1	1
23	лежит в основе	1	1
24	во всех его	1	1
25	всего этого не	1	1
26	только тогда когда	1	1
27	может быть противопоставлен	1	1
28	к которой он	1	1
29	смысле этого слова	1	1
30	а следовательно и	1	1
31	к нему он	1	1
32	на этом пути	2	1
33	потому только что	1	1
34	в себе а	1	1
35	не потому что	1	1
36	но это не	2	1
37	не есть еще	1	1
38	может быть и	2	1
39	для того чтобы	4	1
40	потому что в	1	1
41	и землю и	1	1
42	на то что	1	1
43	не знает границ	2	1
44	человека и человеческого	1	1
45	что и в	4	1
46	к тому что	3	1
47	все это лишь	1	1
48	и менее всего	1	1
49	и потому только	1	1
50	если бы не	1	1
51	себе в своем	1	1
52	в значительной степени	1	1
53	только в этом	1	1
54	в этом мире	1	1
55	как момент в	1	1
56	а не к	1	1
57	и не знает	1	1
58	в этом смысл	1	1
59	не в себе	1	1
60	не может жить	1	1
61	и та же	2	1
62	в нем нет	2	1
63	одна и та	2	1
64	и в нем	1	1
65	он любит и	1	1
66	я не могу	1	1
67	для него и	2	1
68	никогда не было	3	1
69	к которой мы	1	1
70	независимо от его	1	1
71	не в ее	1	1
