N	2gram	Vinokur_Ku_2	Analitik
1	в этом	18	18
2	не только	20	16
3	и в	23	16
4	в частности	2	16
5	так и	4	15
6	как и	2	14
7	своего рода	4	12
8	но и	7	12
9	и не	16	12
10	том что	11	12
11	в том	19	12
12	в качестве	8	11
13	при этом	2	10
14	могут быть	4	10
15	а не	10	10
16	как бы	4	10
17	в этой	6	9
18	лишь в	5	9
19	ничего не	4	9
20	в пределах	4	9
21	и даже	2	9
22	всего лишь	3	8
23	в целом	1	8
24	состоит в	2	8
25	в данном	4	8
26	не случайно	1	8
27	отнюдь не	4	8
28	к тому	4	7
29	а также	3	7
30	о том	1	7
31	в себе	1	7
32	то что	9	7
33	в самом	12	6
34	и на	6	6
35	но в	11	6
36	говорить о	4	6
37	может быть	15	6
38	с другой	8	6
39	как это	5	6
40	и к	1	5
41	данном случае	2	5
42	с одной	2	5
43	того же	3	4
44	по преимуществу	2	4
45	в сущности	9	4
46	совпадает с	1	4
47	столь же	1	4
48	как правило	1	4
49	но не	6	4
50	по отношению	1	4
51	как в	3	4
52	в своем	2	4
53	хотя и	4	4
54	в себя	1	4
55	тому же	1	4
56	на этом	3	4
57	то же	6	4
58	не с	1	4
59	и тем	5	4
60	тем самым	2	4
61	для него	1	4
62	точки зрения	14	4
63	не в	8	4
64	в конце	4	4
65	имеет место	1	4
66	не менее	7	4
67	можно сказать	4	4
68	только в	5	4
69	и его	3	4
70	уже не	8	4
71	не так	1	4
72	у него	3	4
73	как раз	3	4
74	игры и	1	4
75	одной стороны	1	4
76	не может	9	4
77	этом случае	2	4
78	все это	5	4
79	и то	5	3
80	едва ли	1	3
81	в их	2	3
82	в конечном	2	3
83	мы имеем	5	3
84	не был	1	3
85	ответ на	2	3
86	что касается	2	3
87	в нашем	7	3
88	и если	2	3
89	его от	1	3
90	несмотря на	5	3
91	не мог	1	3
92	место в	1	3
93	на фоне	3	3
94	тем не	6	3
95	по крайней	6	3
96	случае в	1	3
97	на себе	4	3
98	никогда не	2	3
99	казалось бы	3	3
100	сводится к	3	3
101	тем что	3	3
102	как будто	2	3
103	этом отношении	3	3
104	что на	4	3
105	как мы	3	3
106	приводит к	5	3
107	можно было	9	3
108	в результате	4	3
109	если бы	12	3
110	одного из	2	3
111	того или	2	3
112	что и	3	3
113	крайней мере	6	3
114	м и	1	3
115	и все	2	3
116	одной из	1	3
117	с ними	2	3
118	так что	1	3
119	есть в	3	3
120	я в	1	3
121	борьбы с	1	3
122	со стороны	4	3
123	или иной	1	3
124	именно в	3	3
125	было бы	15	3
126	в речи	6	3
127	в рамках	1	3
128	или иного	2	3
129	этого слова	5	3
130	или в	4	3
131	бы в	1	3
132	прежде всего	8	3
133	а в	3	3
134	не знает	3	3
135	в действительности	1	3
136	по поводу	2	3
137	речь идет	2	2
138	отношения к	2	2
139	и до	2	2
140	ведь и	1	2
141	той же	2	2
142	а как	1	2
143	и он	1	2
144	еще не	5	2
145	он был	1	2
146	на основе	1	2
147	конечном счете	2	2
148	в общем	1	2
149	отличие от	2	2
150	и я	1	2
151	в значительной	1	2
152	выглядит в	1	2
153	себе не	2	2
154	на то	4	2
155	в случае	1	2
156	вообще не	1	2
157	не следует	5	2
158	он не	3	2
159	от которого	1	2
160	что она	3	2
161	таким образом	5	2
162	значительной степени	1	2
163	в одну	2	2
164	что все	5	2
165	на этой	4	2
166	е к	1	2
167	на протяжении	1	2
168	этом смысле	5	2
169	по себе	10	2
170	строки и	1	2
171	соответствии с	2	2
172	он и	2	2
173	в этих	1	2
174	в своей	2	2
175	в котором	1	2
176	с точки	8	2
177	в отличие	2	2
178	речи в	6	2
179	в устах	2	2
180	для нее	1	2
181	даже в	1	2
182	не мне	1	2
183	в таких	3	2
184	она не	2	2
185	в то	4	2
186	дело не	2	2
187	не имеет	4	2
188	на котором	1	2
189	же время	3	2
190	так например	1	2
191	или иных	1	2
192	ли не	2	2
193	всего в	3	2
194	роль в	2	2
195	с ее	1	2
196	языка и	8	2
197	обращаясь к	1	2
198	природе своей	1	2
199	те же	3	2
200	по природе	1	2
201	раз не	1	2
202	это только	2	2
203	что в	10	2
204	никак не	3	2
205	том или	1	2
206	между тем	6	2
207	в его	5	2
208	вообще и	2	2
209	того что	3	2
210	с той	2	2
211	один из	5	2
212	в поэзии	1	2
213	не есть	1	2
214	свидетельствует о	1	2
215	одно из	1	2
216	и их	1	2
217	или даже	1	2
218	ведь это	1	2
219	в одном	1	2
220	вовсе не	9	2
221	или ином	1	2
222	вслед за	1	2
223	сообщения о	1	2
224	отношения в	1	2
225	в соответствии	3	2
226	превращается в	2	2
227	мне как-то	1	2
228	на этот	2	2
229	была бы	4	2
230	и слово	1	2
231	вместе с	5	2
232	так же	4	2
233	такого рода	1	2
234	по существу	5	2
235	тех или	1	2
236	и для	2	2
237	внимание на	1	2
238	сказать что	4	2
239	другой стороны	7	2
240	речи и	5	2
241	т е	22	2
242	к этому	4	2
243	значения о	1	1
244	и т	39	1
245	также и	5	1
246	совершенно новый	1	1
247	самом деле	9	1
248	говорилось выше	1	1
249	идет о	1	1
250	отношений в	2	1
251	по его	1	1
252	мы уже	1	1
253	есть не	1	1
254	бы уже	1	1
255	изо всей	1	1
256	на первом	1	1
257	в каждый	2	1
258	что иное	1	1
259	нечего делать	1	1
260	почти исключительно	1	1
261	я не	5	1
262	но даже	2	1
263	поэзии где	1	1
264	иное как	1	1
265	повсюду в	1	1
266	в чем	1	1
267	это имеет	1	1
268	получает в	1	1
269	сказать и	1	1
270	иных случаях	1	1
271	истинный смысл	1	1
272	то он	1	1
273	тех же	2	1
274	не все	3	1
275	очевидно что	2	1
276	внимание не	1	1
277	сама по	1	1
278	одни из	1	1
279	независимо от	1	1
280	данный момент	3	1
281	из уст	1	1
282	однако не	4	1
283	в противном	1	1
284	когда он	1	1
285	этой речи	3	1
286	его к	2	1
287	тем же	2	1
288	счетом ничего	1	1
289	себе как	1	1
290	не приходится	1	1
291	в которой	1	1
292	бы и	4	1
293	в литературном	1	1
294	интересно что	2	1
295	привести к	1	1
296	мне не	2	1
297	так или	2	1
298	следует понимать	1	1
299	все эти	12	1
300	не оставляет	1	1
301	из этих	1	1
302	которые в	1	1
303	но без	1	1
304	что автор	1	1
305	еще один	1	1
306	в известном	1	1
307	что даже	1	1
308	сказал я	1	1
309	но ведь	1	1
310	в наших	1	1
311	быть только	2	1
312	что вообще	1	1
313	сам автор	1	1
314	по словам	2	1
315	в нем	4	1
316	в статье	3	1
317	а скорее	1	1
318	что же?	1	1
319	речи то	1	1
320	всех этих	3	1
321	в первую	1	1
322	первой части	1	1
323	в принципе	1	1
324	к одному	1	1
325	не как	2	1
326	в силу	7	1
327	силу своей	1	1
328	борьбу с	1	1
329	свое время	2	1
330	на жизнь	1	1
331	и по	3	1
332	о таком	1	1
333	в каждом	1	1
334	а когда	1	1
335	об этом	5	1
336	от такой	1	1
337	от степени	1	1
338	заключается в	2	1
339	первую очередь	1	1
340	в глазах	2	1
341	это не	6	1
342	например с	1	1
343	ни в	4	1
344	в них	4	1
345	вложены в	1	1
346	все равно	2	1
347	далеко не	1	1
348	этого не	3	1
349	место и	1	1
350	словами в	1	1
351	и некоторых	1	1
