N	3gram	Savitsky_E_1	Hudozhes
1	то же время	14	8
2	в то же	15	8
3	в том что	6	6
4	можно было бы	3	4
5	к тому что	1	4
6	с точки зрения	16	3
7	в этом отношении	3	3
8	но в то	2	3
9	в связи с	1	3
10	та или иная	1	3
11	и т д	1	3
12	того или иного	4	2
13	что же касается	1	2
14	только в том	2	2
15	то и другое	1	2
16	ту или иную	3	2
17	на тех кто	1	2
18	не только в	4	2
19	в значительной степени	1	2
20	связи с этим	1	2
21	вместо того чтобы	1	2
22	не может быть	2	2
23	речь идет о	1	2
24	на то что	2	2
25	во второй половине	2	2
26	на то чтобы	1	2
27	не означает что	1	1
28	не может не	1	1
29	прежде всего в	2	1
30	как нам кажется	5	1
31	в этом смысле	3	1
32	одной стороны и	6	1
33	гораздо большей степени	1	1
34	же как и	3	1
35	и в этом	4	1
36	в одной из	1	1
37	а тем более	2	1
38	и то и	1	1
39	том случае если	1	1
40	и в то	8	1
41	а также в	1	1
42	более или менее	1	1
43	же время не	1	1
44	и та же	1	1
45	в отличие от	1	1
46	в своем духовном	1	1
47	к тому чтобы	2	1
48	в гораздо большей	1	1
49	заключает в себе	3	1
50	несмотря на то	1	1
51	с этой точки	5	1
52	в том случае	1	1
53	точки зрения развития	1	1
54	не сводится к	1	1
55	личности именно в	1	1
56	а также и	1	1
57	так и в	2	1
58	по нашему мнению	2	1
59	между тем в	3	1
60	стороне от основного	1	1
61	во всяком случае	3	1
62	по преимуществу и	1	1
63	одна и та	1	1
64	большей степени чем	1	1
65	в стороне от	1	1
66	действительности как и	1	1
67	в данном случае	2	1
68	только в качестве	1	1
69	в своем прошлом	1	1
70	в свою очередь	2	1
71	именно к этой	1	1
72	этой точки зрения	5	1
73	с тем что	1	1
74	но и для	1	1
75	к концу xix	1	1
76	друг от друга	2	1
77	в том смысле	1	1
78	с одной стороны	8	1
79	так и по	1	1
80	друг с другом	3	1
81	во многих отношениях	1	1
82	что для него	1	1
83	наше внимание на	1	1
84	так обстояло дело	1	1
