N	3gram	Tiupa_Lite_1	UchenyiS
1	в конечном счете	4	4
2	не может быть	1	4
3	в то же	5	3
4	бы то ни	1	3
5	то же время	5	3
6	с другой стороны	1	3
7	то ни было	1	3
8	и то что	2	2
9	в этом отношении	2	2
10	и в частности	1	2
11	в самом деле	1	2
12	тех или иных	1	2
13	до сих пор	1	2
14	в том что	11	2
15	по крайней мере	1	2
16	как нам представляется	1	1
17	так или иначе	8	1
18	с одной стороны	2	1
19	слово как таковое	1	1
20	на то что	1	1
21	не только в	4	1
22	интерес не только	1	1
23	первый взгляд представляется	1	1
24	в художественном отношении	1	1
25	но в то	1	1
26	и у пушкина	1	1
27	и не только	1	1
28	быть не может	1	1
29	и только как	1	1
30	а не только	1	1
31	и прежде всего	3	1
32	же время не	1	1
33	что такое искусство?	2	1
34	его претензии на	1	1
35	в данном случае	4	1
36	во главу угла	1	1
37	на первый взгляд	1	1
38	которые могли бы	1	1
