N	2gram	Propp_Russ_1	KFilosof
1	может быть	8	43
2	в его	2	39
3	в нем	2	31
4	не может	4	27
5	и не	6	26
6	по отношению	1	25
7	и в	36	22
8	в себе	1	21
9	отношению к	1	21
10	и его	1	17
11	а не	2	17
12	только в	4	16
13	в этом	12	13
14	точки зрения	3	13
15	и это	1	12
16	но не	2	12
17	ни в	1	12
18	все эти	2	11
19	к нему	1	11
20	во всех	4	10
21	в своем	3	10
22	это не	10	10
23	с точки	3	10
24	все это	6	10
25	в их	4	9
26	в целом	2	9
27	но и	16	9
28	как бы	5	9
29	и для	2	9
30	и все	1	9
31	было бы	1	8
32	если бы	1	8
33	не было	2	8
34	жизни и	1	8
35	то что	6	7
36	на основе	1	7
37	и здесь	2	7
38	что и	7	7
39	отнюдь не	2	6
40	он не	1	6
41	не значит	2	6
42	смысл и	1	6
43	и действительно	1	6
44	уже не	6	6
45	и их	4	6
46	но это	4	6
47	в том	17	6
48	мы имеем	4	5
49	жизни как	1	5
50	все же	5	5
51	но в	2	5
52	не только	22	5
53	то же	3	5
54	но все	3	5
55	его в	1	5
56	как и	10	5
57	что я	1	5
58	но эта	1	5
59	не имеет	6	5
60	для себя	1	5
61	ни одно	2	5
62	с ним	2	5
63	его как	2	5
64	там где	2	5
65	в основе	1	5
66	не знает	1	5
67	ко всему	1	5
68	в чем	1	4
69	при этом	6	4
70	не как	1	4
71	здесь мы	1	4
72	входит в	4	4
73	место в	1	4
74	к ним	3	4
75	не по	1	4
76	с ними	5	4
77	между тем	7	4
78	во всей	1	4
79	в одном	3	4
80	том что	19	4
81	для нас	6	4
82	а в	9	4
83	только как	1	4
84	что в	19	4
85	в своих	2	4
86	самом деле	1	3
87	на самом	2	3
88	должна быть	1	3
89	мы не	6	3
90	что это	3	3
91	в ней	2	3
92	еще не	4	3
93	и на	10	3
94	а следовательно	1	3
95	себе и	1	3
96	независимо от	2	3
97	для которой	1	3
98	всех этих	2	3
99	в каждом	2	3
100	нет в	1	3
101	что этот	4	3
102	не менее	3	3
103	тогда когда	1	3
104	ничего не	3	3
105	в час	1	3
106	могут быть	2	3
107	но здесь	1	3
108	в виду	1	3
109	о том	8	3
110	того что	4	3
111	быть и	2	3
112	и тем	1	3
113	не дает	1	3
114	и должна	1	3
115	тем что	4	3
116	от того	1	3
117	что не	1	3
118	и пр	2	3
119	до конца	2	3
120	ближе к	1	3
121	по своему	1	3
122	от него	1	3
123	только с	1	3
124	но можно	1	3
125	в свою	3	3
126	в то	1	3
127	чтобы не	1	2
128	мы здесь	1	2
129	вопрос о	1	2
130	ему в	1	2
131	с его	1	2
132	совсем не	1	2
133	в данном	1	2
134	же с	1	2
135	как в	5	2
136	определить в	1	2
137	и как	2	2
138	от этого	1	2
139	та же	2	2
140	думать что	3	2
141	ни одна	1	2
142	в этой	1	2
143	в виде	6	2
144	так и	7	2
145	смысле в	1	2
146	смысла в	1	2
147	и мы	1	2
148	весь мир	1	2
149	в жизни	2	2
150	с тем	8	2
151	и того	1	2
152	что значит	1	2
153	тем не	3	2
154	и эти	1	2
155	и под	1	2
156	тому что	4	2
157	что есть	1	2
158	и время	1	2
159	дело не	1	2
160	дело в	1	2
161	вытекает из	1	2
162	в области	3	2
163	не потому	1	2
164	его с	4	2
165	оно не	1	2
166	ничего общего	2	2
167	всей своей	1	2
168	говорить о	1	2
169	жизнь и	1	2
170	с этого	6	2
171	и та	1	2
172	и просто	1	2
173	или как	1	2
174	общего не	1	2
175	тот же	1	2
176	что он	1	2
177	а с	4	2
178	в качестве	3	2
179	и других	7	2
180	его и	2	2
181	слова в	3	2
182	не о	1	2
183	для этого	2	2
184	себя и	2	2
185	но есть	2	2
186	только по	2	2
187	он и	1	2
188	если не	1	2
189	и потому	2	2
190	его на	1	2
191	быть не	1	2
192	в это	3	2
193	и смерти	1	2
194	этого слова	3	2
195	но для	1	2
196	которой он	1	2
197	потому что	10	2
198	его к	2	2
199	но ни	2	2
200	к этому	4	2
201	ту же	1	1
202	говоря о	1	1
203	также и	1	1
204	о каких	1	1
205	место при	1	1
206	показать что	1	1
207	тем же	1	1
208	и до	2	1
209	что эти	1	1
210	не имеют	1	1
211	видеть в	1	1
212	включая и	1	1
213	мы уже	1	1
214	их и	3	1
215	из всех	1	1
216	что между	1	1
