N	4gram	Vinokur_Ku_2	Vladivir
1	дело в том что	1	4
2	только в том случае	1	3
3	в том случае если	2	2
4	в то же время	3	2
5	также и то что	1	2
6	в то время как	1	2
7	но все дело в	1	1
8	так или иначе но	1	1
9	ни в каком отношении	1	1
10	заключается в том что	1	1
11	все дело в том	1	1
12	бы то ни было	1	1
13	не что иное как	1	1
14	то во всяком случае	1	1
15	с этой точки зрения	2	1
16	зависит не только от	1	1
17	и в том что	1	1
18	в том смысле как	1	1
19	иметь в виду что	1	1
20	от того чтобы не	1	1
21	в том что и	1	1
22	да и то не	1	1
23	и тем не менее	4	1
24	есть вместе с тем	2	1
25	какой бы то ни	1	1
