N	2gram	Savitsky_P_1	StatiiOP
1	в и	1	130
2	и в	14	44
3	в том	9	36
4	что в	4	30
5	и т	3	30
6	том что	4	29
7	т д	1	21
8	в этом	10	21
9	то что	4	18
10	не только	17	18
11	а в	4	17
12	было бы	6	17
13	и не	12	16
14	а не	2	16
15	т е	3	15
16	может быть	5	15
17	в области	11	14
18	в данном	1	14
19	не в	5	12
20	точки зрения	3	11
21	того чтобы	1	11
22	в этой	1	11
23	но и	6	10
24	для того	3	10
25	ясно что	1	10
26	только в	7	10
27	но в	9	10
28	как и	1	9
29	того что	2	9
30	в его	2	9
31	в отношении	10	9
32	если бы	4	9
33	в то	7	9
34	также и	1	9
35	с другой	5	9
36	но также	4	9
37	все же	1	8
38	не может	4	8
39	во всех	2	8
40	например в	2	8
41	с точки	3	8
42	это не	3	8
43	из них	2	8
44	прежде всего	3	7
45	для нас	2	7
46	в самом	1	7
47	в статье	2	7
48	другой стороны	1	7
49	во всяком	1	6
50	хотя бы	8	6
51	потому что	3	6
52	именно в	2	6
53	что и	1	6
54	из этих	1	6
55	всяком случае	1	6
56	со стороны	2	6
57	д д	2	6
58	так же	1	5
59	xix в	1	5
60	не менее	2	5
61	в нем	3	5
62	в которых	5	5
63	там где	1	5
64	никогда не	1	5
65	этой области	1	5
66	то же	9	5
67	в котором	4	5
68	могут быть	3	5
69	все это	2	5
70	и то	1	5
71	что мы	3	5
72	и по	1	5
73	столь же	3	4
74	в которой	1	4
75	в частности	2	4
76	же время	7	4
77	вопрос о	1	4
78	не было	2	4
79	во времена	1	4
80	гораздо более	1	4
81	на то	1	4
82	как раз	2	4
83	это в	1	4
84	что это	1	4
85	бы и	1	4
86	в ее	2	4
87	и очень	1	4
88	не имеет	1	4
89	в качестве	9	4
90	и что	1	4
91	еще более	2	4
92	тем более	2	4
93	в россии	3	4
94	заключается в	3	4
95	как бы	4	4
96	должна была	1	4
97	никакого сомнения	1	3
98	еще не	1	3
99	и тем	2	3
100	должна быть	1	3
101	что не	1	3
102	из двух	1	3
103	конечно и	1	3
104	в какой	1	3
105	связанные с	1	3
106	в виде	2	3
107	и без	3	3
108	работы в	1	3
109	и с	2	3
110	или иным	1	3
111	и я	1	3
112	с одной	3	3
113	но не	3	3
114	и только	1	3
115	культуры в	2	3
116	в начале	2	3
117	между тем	3	3
118	возможно что	1	3
119	в г	1	3
120	в применении	1	3
121	не все	1	3
122	с этим	2	3
123	во многих	1	3
124	да и	2	3
125	в результате	1	3
126	к сожалению	1	3
127	стремление к	1	3
128	в истории	1	3
129	а с	1	3
130	он был	1	3
131	в каждом	1	3
132	же как	1	3
133	как к	1	3
134	этих двух	1	3
135	е с	6	3
136	в ней	6	3
137	в каком	1	3
138	должен быть	1	3
139	тем же	1	3
140	что оно	1	3
141	за то	1	3
142	применении к	1	3
143	может не	1	2
144	не могла	1	2
145	п о	5	2
146	есть в	2	2
147	наших глазах	1	2
148	в наших	1	2
149	говорить о	2	2
150	и критика	1	2
151	о котором	1	2
152	бы это	1	2
153	что то	1	2
154	оказывается в	1	2
155	точное воспроизведение	1	2
156	ни были	1	2
157	думать что	2	2
158	более что	1	2
159	числе и	1	2
160	в себе	3	2
161	бы что	1	2
162	нужно было	2	2
163	что эта	1	2
164	мы не	3	2
165	нисколько не	1	2
166	если в	2	2
167	ли не	1	2
168	ответа на	1	2
169	одно из	1	2
170	его в	1	2
171	тем самым	3	2
172	отношения к	2	2
173	более чем	2	2
174	в иных	1	2
175	в этих	1	2
176	многих случаях	1	2
177	в других	1	2
178	что при	1	2
179	что во	1	2
180	но на	1	2
181	что от	1	2
182	подчеркнуть что	1	2
183	и потому	4	2
184	и и	2	2
185	в эпоху	1	2
186	который не	1	2
187	между прочим	2	2
188	одной стороны	3	2
189	для этого	1	2
190	г и	2	2
191	она не	1	2
192	том числе	2	2
193	бы мы	1	2
194	а также	4	2
195	и уже	1	2
196	что все	1	2
197	что с	1	2
198	и это	2	2
199	уже в	1	2
200	чуть ли	1	2
201	ни на	1	2
202	литературы и	1	2
203	также в	1	2
204	и более	1	2
205	но для	1	2
206	в своем	4	2
207	ii в	2	1
208	что по	1	1
209	не означает	1	1
210	тьма в	1	1
211	точек зрения	2	1
212	всей полноте	1	1
213	каждый из	1	1
214	и философской	1	1
215	ч в	1	1
216	р и	6	1
217	отношении к	5	1
218	поэзии и	1	1
219	чтобы в	1	1
220	и вот	2	1
221	величайшим трудом	1	1
222	в одно	1	1
223	чем то	1	1
224	место в	1	1
225	у каждого	1	1
226	как на	2	1
227	индивидуальной личности	1	1
228	как по	1	1
229	какой бы	1	1
230	для них	2	1
231	и эти	1	1
232	о положении	1	1
233	является в	2	1
234	случаях когда	1	1
235	верить что	1	1
236	при отсутствии	1	1
237	где уже	1	1
238	настоящее время	1	1
239	были в	1	1
240	бы ни	2	1
241	было в	2	1
242	вполне и	1	1
243	и другие	1	1
244	не были	1	1
245	вопроса и	1	1
246	по себе	4	1
247	только то	1	1
248	тот же	3	1
249	и наоборот	1	1
250	они являются	1	1
251	казалось бы	1	1
252	если он	1	1
