N	3gram	Potebnia_M_2	Problema
1	тем не менее	5	18
2	и т д	3	10
3	и тем не	1	8
4	для того чтобы	2	8
5	на то что	3	8
6	сам по себе	4	7
7	ничего общего с	1	7
8	в этом смысле	2	6
9	в таком случае	2	6
10	то что мы	2	6
11	о том что	1	5
12	в том что	7	5
13	на самом деле	2	4
14	т д и	1	4
15	но в таком	1	4
16	в связи с	1	4
17	то есть в	1	4
18	в то же	2	4
19	сама по себе	2	4
20	что же касается	1	3
21	дело в том	1	3
22	более или менее	8	3
23	до сих пор	4	3
24	и в других	1	3
25	сами по себе	7	3
26	не знал что	1	3
27	то что он	1	3
28	во всяком случае	7	3
29	то что в	2	3
30	и тем самым	1	3
31	с другой стороны	2	3
32	о том как	1	2
33	и того же	6	2
34	в этом случае	1	2
35	мы говорим что	1	2
36	по крайней мере	5	2
37	в таких случаях	1	2
38	в сознании и	1	2
39	но когда мы	1	2
40	то и другое	4	2
41	чем перейти к	1	2
42	имеет ничего общего	1	2
43	и в этом	1	2
44	во всех этих	1	2
45	для чего он	1	2
46	в одно целое	2	2
47	о которых мы	1	2
48	прежде чем перейти	1	2
49	не может быть	2	2
50	не имеет ничего	1	2
51	и как бы	1	2
52	не потому что	1	2
53	есть указание на	1	2
54	с тем что	1	2
55	и в самом	1	2
56	понятие символа в	1	2
57	одного и того	6	2
58	только потому что	2	2
59	подобно тому как	4	2
60	если бы он	1	1
61	тем же словом	1	1
62	и может быть	2	1
63	связаны между собою	1	1
64	а между тем	4	1
65	вместе с тем	1	1
66	который под влиянием	1	1
67	мыслей и чувств	1	1
68	но даже и	1	1
69	есть прежде всего	2	1
70	нет никакой возможности	1	1
71	в некоторых случаях	2	1
72	в действительности не	1	1
73	цвета не есть	1	1
74	и во многих	1	1
75	во многих других	1	1
76	но для такого	1	1
77	и во всех	2	1
78	и притом не	1	1
79	не может прийти	1	1
80	что человек есть	1	1
81	друг на друга	1	1
82	то есть самой	1	1
83	что из него	1	1
84	и т п	3	1
85	что в душе	2	1
86	обратить внимание на	1	1
87	мы до сих	1	1
88	потому что для	1	1
89	отчет в том	1	1
90	не то что	1	1
91	из них не	1	1
92	в себе никакого	1	1
93	одно и то	2	1
94	и ни для	1	1
95	уже переходит в	1	1
96	то время как	3	1
97	чтобы понять что	1	1
98	на что они	1	1
99	один из них	1	1
100	мы не знаем	1	1
101	не менее они	2	1
102	сказать потому что	1	1
103	так как это	1	1
104	и то же	2	1
105	так и в	2	1
106	в сознании а	1	1
107	было бы никакого	1	1
108	между собою и	1	1
109	том как он	1	1
110	о которой мы	2	1
111	или по крайней	2	1
112	и на ней	1	1
113	при этом что	1	1
114	это было бы	1	1
115	внутренней и внешней	1	1
116	не могут быть	3	1
117	есть не только	1	1
118	бы то ни	1	1
119	не для того	1	1
120	не было бы	4	1
121	природе то есть	1	1
122	уже в сознании	1	1
123	она есть уже	1	1
124	не есть нечто	1	1
125	но он есть	1	1
126	таким образом в	2	1
127	мы выше называли	1	1
128	в то время	4	1
129	в том чтобы	1	1
130	даже и в	1	1
131	мы при этом	1	1
132	мы можем сказать	1	1
133	есть одно из	1	1
134	а потому что	1	1
135	и это общее	1	1
136	для кого не	1	1
137	в чем именно	1	1
138	у нас в	1	1
139	может и не	1	1
140	и это есть	1	1
141	в сравнении с	2	1
142	во всех случаях	1	1
143	ни для кого	1	1
144	не только от	1	1
145	или лучше сказать	1	1
146	как и в	1	1
147	есть нечто общее	1	1
148	только тогда когда	2	1
149	мы выше говорили	1	1
150	но она есть	1	1
