N	3gram	Berdyaev_M_1	Marksizm
1	не может быть	17	13
2	в самом деле	1	9
3	и не может	2	9
4	до сих пор	2	8
5	в отличие от	1	5
6	в отношении к	1	4
7	может быть и	1	3
8	в высшей степени	2	3
9	в конце концов	2	3
10	для того чтобы	2	3
11	в том что	1	3
12	– все это	1	2
13	нет и не	1	2
14	как и все	1	2
15	можно было бы	1	2
16	во всяком случае	1	2
17	не могут быть	2	2
18	по отношению к	2	2
19	между этими двумя	1	2
20	от того что	1	2
21	это и есть	4	2
22	быть и речи	1	2
23	в нем нет	1	2
24	непосредственно примыкает к	1	1
25	все более и	1	1
26	в ней нет	1	1
27	не значит конечно	1	1
28	не может отказаться	1	1
29	значит конечно что	1	1
30	прежде всего в	2	1
31	для других –	1	1
32	есть прежде всего	1	1
33	хотя бы и	2	1
34	и найдет свое	1	1
35	но и в	4	1
36	не было бы	5	1
37	в себе и	1	1
38	в наше время	1	1
39	но и сама	1	1
40	свет и на	1	1
41	возможно лишь в	1	1
42	и потому в	1	1
43	он ни был	1	1
44	в значительной степени	1	1
45	человека не есть	1	1
46	и ту же	1	1
47	а не только	2	1
48	же этот процесс	1	1
49	для него как	1	1
50	так как они	1	1
51	и не было	1	1
52	по природе своей	1	1
53	и есть та	1	1
54	это не значит	2	1
55	социальной среды и	1	1
56	и та же	1	1
57	одна и та	1	1
58	а не в	4	1
59	тем что в	1	1
60	вообще не существует	1	1
61	нем нет ничего	1	1
62	только может быть	1	1
63	но ведь как	1	1
64	он не знает	2	1
65	с тем что	3	1
66	это значит что	3	1
67	и в самом	3	1
68	более и более	1	1
69	не только в	2	1
70	выходит за пределы	1	1
71	и в нем	3	1
72	во многих отношениях	1	1
73	одну и ту	1	1
74	и речи о	1	1
75	ней нет ничего	1	1
76	выходят за пределы	1	1
77	существуют лишь в	1	1
