N	3gram	Bakhtin_Fr_6	Poddanst
1	в то же	5	7
2	то же время	5	7
3	не только в	1	4
4	в том что	2	4
5	с точки зрения	2	3
6	с одной стороны	4	3
7	и как раз	1	2
8	одной стороны и	2	2
9	и не только	1	2
10	но и в	2	2
11	в значительной мере	1	2
12	заключается в том	1	2
13	том что в	1	1
14	о котором говорит	1	1
15	есть как бы	1	1
16	более или менее	1	1
17	в настоящее время	1	1
18	в эту эпоху	1	1
19	мы не будем	1	1
20	прежде всего мы	2	1
21	совершенно ясно что	1	1
22	за то что	1	1
23	вместе с тем	1	1
24	и то что	2	1
25	только в ее	1	1
26	было бы неправильно	1	1
27	в xix веке	1	1
28	настоящее время в	1	1
29	с другой стороны	2	1
30	не может быть	1	1
31	одно из важнейших	1	1
32	та или иная	1	1
33	большей степени чем	1	1
34	но в то	1	1
35	в большинстве случаев	4	1
36	что уже в	1	1
37	для того чтобы	1	1
