N	2gram	Losev_Dial_2	NovoeSre
1	а не	16	17
2	и в	19	16
3	не может	9	16
4	совсем не	1	12
5	и не	30	11
6	и есть	4	10
7	истории и	1	9
8	что в	7	9
9	как не	2	8
10	в том	14	8
11	жизни и	6	8
12	он не	4	8
13	культуры и	2	7
14	в этом	8	7
15	к новому	1	7
16	может быть	20	7
17	не будет	2	7
18	как и	10	7
19	это есть	8	7
20	не в	8	6
21	ни в	10	6
22	никогда не	9	6
23	но это	7	6
24	не знает	1	6
25	воля к	2	6
26	должен быть	1	5
27	с ее	2	5
28	в ней	2	5
29	и к	7	5
30	не только	19	5
31	в жизни	2	5
32	все это	4	5
33	в нем	10	5
34	со всех	1	4
35	не во	2	4
36	быть может	1	4
37	о том	5	4
38	всех сторон	1	4
39	и мы	3	4
40	в них	1	4
41	то что	14	4
42	это не	10	4
43	прежде всего	8	4
44	не было	3	4
45	должно быть	7	4
46	и потому	5	4
47	по своему	5	4
48	значит что	12	4
49	не менее	3	4
50	не имеет	1	4
51	и все	12	4
52	потому что	14	4
53	с другой	5	3
54	смысле слова	1	3
55	в ее	4	3
56	должна быть	5	3
57	вопрос о	3	3
58	человека и	2	3
59	еще не	4	3
60	во всех	2	3
61	за пределы	4	3
62	в истории	2	3
63	как в	2	3
64	духа и	1	3
65	конечно не	6	3
66	не значит	3	3
67	к ним	1	3
68	подобно тому	1	3
69	в мире	2	3
70	но и	12	3
71	это было	3	3
72	не есть	47	3
73	и пр	5	3
74	с тем	2	3
75	в своей	8	3
76	к жизни	1	3
77	тому как	1	3
78	в прошлом	1	3
79	она не	8	3
80	что такое	3	3
81	не существует	1	3
82	в основе	1	3
83	истории не	1	3
84	к тому	2	3
85	сказать что	10	3
86	и это	5	2
87	же как	3	2
88	более не	1	2
89	связана с	2	2
90	должно стать	1	2
91	не человек	1	2
92	это и	3	2
93	время как	7	2
94	ведь и	1	2
95	так и	10	2
96	времени и	9	2
97	мы не	1	2
98	мира и	1	2
99	и с	5	2
100	но она	1	2
101	я не	6	2
102	из глубины	1	2
103	и должно	2	2
104	вот почему	1	2
105	и что	5	2
106	и на	1	2
107	в религии	6	2
108	быть в	4	2
109	времени в	2	2
110	но не	6	2
111	в новом	1	2
112	все время	3	2
113	с этим	3	2
114	и социализм	1	2
115	но в	2	2
116	духа в	1	2
117	все эти	2	2
118	с одной	2	2
119	себя в	2	2
120	с их	1	2
121	есть в	2	2
122	понят как	1	2
123	в себе	15	2
124	уже не	3	2
125	не могла	1	2
126	стремиться к	1	2
127	час тоски	1	2
128	не к	1	2
129	у него	1	2
130	что она	14	2
131	в одну	5	2
132	что все	1	2
133	нет и	1	2
134	и даже	14	2
135	этом смысле	1	2
136	личность в	2	2
137	и творчества	1	2
138	зависит от	2	2
139	но я	3	2
140	том что	10	2
141	от религии	2	2
142	вместе с	2	2
143	так же	2	2
144	я уже	2	2
145	мы говорим	3	2
146	не знал	1	2
147	одной стороны	1	2
148	другой стороны	4	2
149	по существу	1	2
150	том и	1	2
151	если нет	1	2
