N	3gram	Tiupa_Narr_1	OGranits
1	с точки зрения	2	5
2	не может быть	5	4
3	по отношению к	6	3
4	есть прежде всего	1	3
5	что иное как	2	2
6	в самом деле	1	2
7	в данном случае	4	2
8	с одной стороны	7	2
9	с другой стороны	4	2
10	того или иного	2	2
11	есть не что	1	2
12	не что иное	2	2
13	в том что	8	2
14	точки зрения и	1	1
15	том что в	1	1
16	один и тот	1	1
17	как то что	1	1
18	что в этом	1	1
19	только потому что	1	1
20	этой точки зрения	2	1
21	в хх веке	1	1
22	иметь в виду	1	1
23	более или менее	2	1
24	на самом деле	1	1
25	подобно тому как	2	1
26	то же самое	1	1
27	но далеко не	1	1
28	же время в	1	1
29	они сводятся к	1	1
30	в отличие от	5	1
31	только то что	1	1
32	в этом отношении	3	1
33	следует иметь в	1	1
34	можно было бы	2	1
35	может быть и	1	1
36	с этой точки	1	1
37	то или иное	2	1
38	по себе а	1	1
39	ту или иную	2	1
40	которым можно было	2	1
41	так же как	2	1
42	далеко не всегда	1	1
43	и тот же	1	1
44	состоит в том	3	1
45	а также и	1	1
46	не входит в	1	1
47	тем не менее	3	1
48	и как бы	1	1
49	и который является	1	1
50	в связи с	2	1
51	а не как	1	1
52	само по себе	1	1
53	так и для	1	1
54	прежде всего в	1	1
55	все то что	1	1
56	не мог бы	1	1
57	то же время	3	1
58	включает в себя	1	1
59	собственно говоря и	1	1
60	в конечном счете	2	1
61	на всем протяжении	1	1
62	в то же	3	1
63	тех или иных	1	1
64	как и в	1	1
