1	и т п	8	15
2	в том что	6	9
3	и т д	3	8
4	не может быть	2	8
5	на то что	2	8
6	в самом деле	4	7
7	о том что	9	7
8	во всяком случае	1	6
9	не в том	2	5
10	с одной стороны	1	5
11	этой точки зрения	1	5
12	с этой точки	1	4
13	как и в	3	4
14	только в том	2	3
15	до сих пор	2	3
16	интеллигенции х годов	1	3
17	в отличие от	1	3
18	что у него	2	3
19	в конечном счете	2	3
20	в конце концов	1	3
21	к тому чтобы	1	3
22	не только не	1	3
23	том и состоит	1	2
24	как будто бы	1	2
25	несмотря на то	1	2
26	в этом смысле	1	2
27	так и в	1	2
28	в противоречие с	1	2
29	то что я	1	2
30	с точки зрения	3	2
31	тем не менее	3	2
32	т п все	1	2
33	та же самая	1	2
34	потому что он	1	2
35	то же самое	1	2
36	а в том	1	2
37	в этом отношении	3	2
38	в том и	1	2
39	более или менее	1	2
40	на самом деле	1	2
41	по себе а	1	2
42	и в самом	3	2
43	состоит в том	1	2
44	в таком случае	1	2
45	в том случае	1	2
46	при этом не	1	2
47	на то чтобы	2	2
48	не означает что	1	2
49	здесь нет и	1	1
50	в первом случае	1	1
51	это действительно так	1	1
52	уже не может	1	1
53	с самого начала	1	1
54	в том как	1	1
55	одной стороны и	1	1
56	этом не только	1	1
57	проблемы мы считаем	1	1
58	в себе ту	1	1
59	т п эта	1	1
60	потому что оно	1	1
61	людей а не	1	1
62	характеры действующих лиц	2	1
63	того и другого	1	1
64	не может не	1	1
65	в связи с	3	1
66	том что он	1	1
67	и в этом	1	1
68	в такой же	2	1
69	в себя и	1	1
70	приводит к тому	1	1
71	столь же мало	2	1
72	не только в	2	1
73	принципиальное различие между	1	1
74	заключает в себе	1	1
75	каждого из нас	2	1
76	в таком же	1	1
77	теории литературы и	1	1
78	вместо того чтобы	2	1
79	ясно что для	1	1
80	такой же мере	2	1
81	тому что он	2	1
82	и тот и	1	1
83	и потом как	1	1
84	в нем не	1	1
85	в свою очередь	1	1
86	речь идет о	2	1
87	которая может быть	1	1
88	ту или иную	2	1
89	к жизни и	2	1
90	та или иная	3	1
91	как бы в	1	1
92	и там где	1	1
93	и в конце	1	1
94	тот и другой	1	1
95	и состоит что	1	1
96	легко заметить что	1	1
97	мы не знаем	1	1
98	точки зрения в	1	1
99	не потому что	1	1
100	все дело в	1	1
101	сами по себе	1	1
102	может быть только	1	1
103	в это время	1	1
104	по своему содержанию	1	1
105	того что он	1	1
106	не до конца	1	1
107	том случае если	1	1
108	формы и содержания	1	1
109	же как и	1	1
110	а также в	1	1
111	в действительности же	2	1
