N	2gram	Medvedev_U_1	Istorich
1	и в	14	26
2	мы имеем	1	14
3	никогда не	1	13
4	в этом	7	12
5	таким образом	2	12
6	в том	2	12
7	что в	1	12
8	может быть	6	11
9	не только	10	10
10	том что	2	10
11	с другой	4	10
12	и не	8	10
13	что он	2	9
14	но и	4	9
15	и это	1	8
16	все же	3	8
17	в нем	1	8
18	другой стороны	3	8
19	но в	3	7
20	мы можем	1	7
21	о том	1	7
22	с одной	1	7
23	уже не	1	7
24	у него	1	7
25	превращается в	2	7
26	одной стороны	1	7
27	мы не	2	6
28	и с	2	6
29	в виде	1	6
30	то что	7	6
31	этом случае	1	6
32	ее в	1	6
33	не может	7	6
34	то же	5	5
35	в ней	1	5
36	как и	3	5
37	и что	1	5
38	в то	3	5
39	очень часто	1	5
40	так и	1	5
41	в его	2	5
42	только в	2	5
43	тем что	2	5
44	у нас	3	5
45	с его	2	4
46	имеем в	1	4
47	на его	1	4
48	это не	3	4
49	с тем	1	4
50	что и	2	4
51	до сих	2	4
52	прежде всего	8	4
53	сих пор	2	4
54	но это	2	4
55	на своем	1	4
56	все что	1	4
57	же как	1	3
58	и через	2	3
59	и то	3	3
60	должна быть	2	3
61	из которых	1	3
62	ее к	1	3
63	независимо от	1	3
64	в себе	2	3
65	что она	2	3
66	если бы	2	3
67	в своей	3	3
68	не в	2	3
69	их в	1	3
70	она не	1	3
71	того как	1	3
72	могут быть	2	3
73	вот почему	7	3
74	данном случае	1	3
75	и действительно	1	3
76	в качестве	1	3
77	и только	5	3
78	далеко не	1	3
79	не было	1	3
80	в частности	3	3
81	в данном	1	3
82	на первый	2	3
83	и эта	1	3
84	сказать что	1	3
85	как на	1	3
86	к этому	1	3
87	он был	1	2
88	первый план	1	2
89	но не	2	2
90	на то	1	2
91	относится к	1	2
92	в своем	1	2
93	в этой	4	2
94	то и	1	2
95	но он	1	2
96	он не	1	2
97	же не	2	2
98	было бы	3	2
99	она в	1	2
100	в которых	1	2
101	что этот	1	2
102	не вполне	1	2
103	это то	1	2
104	что при	1	2
105	в свое	1	2
106	о котором	1	2
107	ничего не	2	2
108	сводится к	2	2
109	можно сказать	1	2
110	говорит он	1	2
111	того что	1	2
112	и др	1	2
113	такое понимание	1	2
114	в некоторых	2	2
115	а не	10	2
116	о чем	2	2
117	он становится	1	2
118	он и	1	2
119	что же	1	2
120	и формы	3	2
121	что мы	2	2
122	но для	1	2
123	не есть	2	2
124	вряд ли	3	1
125	одним из	2	1
126	а как	2	1
127	именно к	1	1
128	имеет свою	1	1
129	равно как	1	1
130	месте в	1	1
131	так или	1	1
132	своей работе	1	1
133	не все	2	1
134	он будет	1	1
135	более чем	2	1
136	как нам	1	1
137	более или	1	1
138	есть ли	1	1
139	в этот	1	1
140	меньшей мере	1	1
141	формы в	3	1
142	он в	1	1
143	ее как	1	1
144	этот процесс	1	1
145	в первую	1	1
146	не значит	1	1
147	это значит	1	1
148	что все	2	1
149	связанные с	1	1
150	что никакого	1	1
151	то есть	1	1
152	изобразительном искусстве	1	1
153	и случилось	1	1
154	по существу	2	1
155	и разнообразие	1	1
156	остается в	1	1
157	одно из	1	1
158	или менее	1	1
159	но если	1	1
160	в котором	1	1
161	и требованиями	1	1
162	не столько	2	1
163	обращение к	1	1
164	все это	5	1
165	тому чтобы	1	1
166	и вся	1	1
167	она сводится	1	1
168	что с	1	1
169	к изучению	1	1
170	анализ его	1	1
171	не случайно	2	1
172	больше чем	1	1
173	но даже	2	1
174	в области	3	1
175	не могут	2	1
176	от которой	1	1
177	бы ни	1	1
178	он прежде	1	1
179	только при	1	1
180	почему и	1	1
181	для тех	1	1
182	идет не	1	1
183	приводит к	1	1
184	и отвратительное	1	1
185	отсюда и	1	1
186	для этого	3	1
187	об этом	1	1
188	ясно он	1	1
189	тех кто	1	1
190	все его	1	1
191	между тем	2	1
192	переходит в	1	1
193	с которыми	1	1
194	но тут	1	1
195	его еще	1	1
196	не как	3	1
197	которое мы	1	1
198	в изобразительном	1	1
199	а это	1	1
200	или даже	1	1
201	его и	2	1
202	где бы	1	1
203	для него	3	1
204	может служить	1	1
205	но что	1	1
206	нам несколько	1	1
207	именно как	2	1
208	и даже	1	1
209	даже не	1	1
210	или иначе	1	1
211	эта работа	1	1
212	видно русская	1	1
213	с другом	1	1
214	возвращается в	1	1
215	детали как	1	1
216	уже много	1	1
217	своем месте	1	1
218	его как	1	1
219	на эту	2	1
220	к лицу	1	1
221	этой же	1	1
222	еще раз	1	1
223	первый взгляд	1	1
224	связанных с	1	1
225	относятся к	1	1
226	смысле этого	2	1
227	чем к	1	1
228	друг с	1	1
229	и для	2	1
230	не существует	1	1
231	бы в	1	1
232	тем более	1	1
233	же в	1	1
234	еще ничего	2	1
235	состоит из	1	1
236	в отдельности	1	1
237	что под	1	1
238	время не	1	1
239	это в	1	1
240	в таком	1	1
