N	4gram	Losev_Vlad_3	Myshleni
1	с этой точки зрения	1	4
2	заключается в том что	1	4
3	с одной стороны и	2	3
4	одно и то же	1	3
5	в том что он	1	2
6	в то время как	2	2
7	и вместе с тем	2	2
8	то и другое в	1	1
9	с точки зрения того	1	1
10	и то и другое	1	1
11	на самом же деле	2	1
12	в том что в	3	1
13	не что иное как	1	1
14	но вместе с тем	1	1
15	том и заключается что	1	1
16	то же самое время	1	1
17	так же как и	1	1
18	в том что это	1	1
19	не содержит в себе	1	1
20	в том и заключается	1	1
21	в то же самое	1	1
