N	3gram	Berdyaev_M_1	VrazhdaK
1	имел в виду	1	3
2	он не только	2	2
3	в этот момент	1	2
4	не может быть	17	2
5	в том что	1	2
6	он был очень	1	1
7	но не менее	1	1
8	уже в конце	1	1
9	достоевский прежде всего	2	1
10	до сих пор	2	1
11	и не может	2	1
12	отличается не только	1	1
13	не было бы	5	1
14	и это было	1	1
15	но это не	1	1
16	сам достоевский в	1	1
17	записках из подполья	1	1
18	может быть и	1	1
19	это не было	3	1
20	преступления и наказания	1	1
21	тем что он	2	1
22	в высшей степени	2	1
23	ответ на это	1	1
24	в конце концов	2	1
25	быть и речи	1	1
26	отношение достоевского к	1	1
27	во всяком случае	1	1
28	о достоевском и	2	1
29	как бы в	1	1
30	записки из подполья	1	1
31	и уж конечно	2	1
32	что они не	1	1
33	в то время	2	1
34	это и есть	4	1
35	о том что	1	1
36	и достоевский в	1	1
37	и никогда не	1	1
38	и в самом	3	1
39	но и от	1	1
40	и во всем	1	1
41	и сам достоевский	1	1
42	не только от	1	1
