N	3gram	Tiupa_Anal_1	Vladivir
1	в том что	9	10
2	о том что	3	8
3	вместе с тем	1	6
4	с точки зрения	4	6
5	не может быть	16	6
6	к тому же	4	5
7	более или менее	1	5
8	что же касается	1	5
9	как раз и	1	5
10	с одной стороны	3	3
11	в этом смысле	1	3
12	в то же	8	3
13	в том случае	1	3
14	бы то ни	3	3
15	только в том	1	3
16	в отличие от	6	3
17	во всяком случае	1	3
18	в таком случае	3	2
19	сам по себе	1	2
20	обращает на себя	1	2
21	на себя внимание	1	2
22	с другой стороны	2	2
23	а с другой	1	2
24	к тому что	1	2
25	том случае если	1	2
26	на самом же	1	2
27	в этом отношении	2	2
28	в связи с	1	2
29	то же время	6	2
30	и вместе с	1	2
31	еще в году	1	2
32	самом же деле	1	2
33	по себе в	1	2
34	также и в	1	2
35	в данном случае	2	2
36	все того же	1	1
37	и должно быть	1	1
38	в том же	1	1
39	то он не	1	1
40	отнюдь не все	1	1
41	в составе его	1	1
42	что даже в	1	1
43	на наш взгляд	6	1
44	то что выше	1	1
45	в том числе	3	1
46	включает в себя	1	1
47	то есть предполагает	1	1
48	в понятии о	1	1
49	и не в	4	1
50	есть она сама	1	1
51	вл соловьевым для	1	1
52	если исходить из	1	1
53	в противном случае	1	1
54	значении этого слова	6	1
55	как и его	1	1
56	том и заключается	1	1
57	в течение всего	1	1
58	того что мы	1	1
59	то ни было	3	1
60	в этом последнем	1	1
61	не подлежит никакому	1	1
62	собственно говоря и	3	1
63	к своему собственному	1	1
64	возможно только в	1	1
65	то же самое	2	1
66	же самое время	2	1
67	лишь в том	3	1
68	и то же	1	1
69	из которых состоит	1	1
70	и заключается что	1	1
71	но и не	4	1
72	себя также и	1	1
73	для того чтобы	3	1
74	не что иное	4	1
75	не только в	1	1
76	в основе своей	2	1
77	далеко не всегда	2	1
78	как будто бы	1	1
79	более высокой ступени	1	1
80	какой бы то	2	1
81	а не к	1	1
82	что иное как	5	1
83	место лишь при	1	1
84	в самом деле	2	1
85	хотя бы с	1	1
86	как говорит е	1	1
87	тому что из	1	1
88	в известном смысле	1	1
89	все же не	1	1
90	выходит за пределы	1	1
91	в том и	2	1
92	не говоря уже	1	1
93	могут и должны	1	1
94	без опоры на	1	1
95	а вместе с	1	1
96	же касается самого	1	1
97	той или иной	6	1
98	этой точки зрения	1	1
99	том что он	2	1
100	с этой точки	1	1
101	в которой я	1	1
102	о том как	1	1
103	еще раз что	1	1
104	одно и то	1	1
105	до сих пор	1	1
