N	2gram	Nazirov_Tv_2	ViktorSh
1	в книге	1	3
2	и в	20	2
3	том что	4	2
4	в том	8	2
5	в конце	6	2
6	ничуть не	1	1
7	и только	2	1
8	крайней мере	2	1
9	в устах	2	1
10	под влиянием	1	1
11	ни к	2	1
12	в другом	1	1
13	и не	9	1
14	все время	2	1
15	и его	9	1
16	потому что	7	1
17	я не	2	1
18	даже не	1	1
19	сводится к	2	1
20	же с	9	1
21	самом деле	2	1
22	другом месте	1	1
23	все это	6	1
24	по поводу	1	1
25	именно в	6	1
26	главным образом	1	1
27	в их	3	1
28	дело в	1	1
29	с большой	1	1
30	в частности	2	1
31	так в	2	1
32	столь же	1	1
33	в которых	3	1
34	в самом	3	1
35	для них	1	1
36	только в	2	1
37	то же	7	1
38	ясно что	1	1
39	так как	3	1
40	и мало	1	1
41	бы уже	1	1
42	но это	5	1
43	в этом	8	1
44	по крайней	2	1
45	а только	1	1
46	к этому	3	1
47	собр соч	3	1
48	за свою	1	1
49	том же	2	1
