N	3gram	Tiupa_Disk_2	Sovremen
1	с точки зрения	2	5
2	не может быть	3	4
3	с самого начала	1	3
4	тем не менее	1	2
5	во всяком случае	1	2
6	в отличие от	12	2
7	времени и пространства	1	2
8	и может быть	2	1
9	такой же мере	1	1
10	одной стороны и	2	1
11	по крайней мере	1	1
12	и есть не	1	1
13	не могут быть	1	1
14	в такой же	1	1
15	не в том	1	1
16	собственно и составляет	1	1
17	дело в том	2	1
18	по отношению к	4	1
19	равно как и	1	1
20	и той же	1	1
21	с совершенно иными	1	1
22	в свое время	2	1
23	в этом случае	2	1
24	а потом и	2	1
25	и все же	3	1
26	принципиально не может	1	1
27	то же время	5	1
28	и в то	1	1
29	по аналогии с	1	1
30	друг на друга	1	1
31	бы то ни	1	1
32	и именно в	1	1
33	в конечном счете	1	1
34	но все эти	1	1
35	заключает в себе	2	1
36	и не может	2	1
37	в самом деле	1	1
38	той или иной	3	1
39	и прежде всего	2	1
40	одна из них	1	1
41	в то же	4	1
42	и могут быть	1	1
43	одной и той	1	1
44	между ним и	1	1
45	в такого рода	2	1
46	в том что	6	1
47	в данном случае	6	1
48	в обоих случаях	2	1
49	то ни было	1	1
50	в предыдущей главе	1	1
51	с одной стороны	4	1
