N	3gram	Propp_Russ_2	Dialekti
1	и т д	5	19
2	в том что	18	7
3	можно было бы	1	4
4	с другой стороны	1	4
5	на то что	1	4
6	потому что он	1	3
7	более или менее	1	3
8	может быть и	1	3
9	и в этом	1	3
10	иметь в виду	1	3
11	не может быть	3	3
12	можно сказать что	1	3
13	и то и	1	2
14	но все это	1	2
15	в этом отношении	1	2
16	и от этого	1	2
17	с одной стороны	2	2
18	во всяком случае	1	2
19	это и есть	1	2
20	о том что	4	2
21	а между тем	1	1
22	как например в	1	1
23	дело в том	1	1
24	из которого она	1	1
25	то время как	1	1
26	в виду что	1	1
27	об этом не	1	1
28	так что в	1	1
29	т е не	1	1
30	того или другого	1	1
31	мы уже знаем	1	1
32	те и другие	1	1
33	как мы увидим	1	1
34	на самом же	2	1
35	из того что	1	1
36	но это не	1	1
37	отделима от него	1	1
38	в которых нет	1	1
39	там где есть	1	1
40	этой теории может	1	1
41	в том чтобы	2	1
42	в то время	2	1
43	ничего общего не	1	1
44	во всех этих	1	1
45	с ней и	1	1
46	в этом и	2	1
47	в первую очередь	1	1
48	но она не	2	1
49	но так как	1	1
50	самом же деле	2	1
51	как таковых а	1	1
52	и с ней	1	1
53	во всем этом	1	1
54	к выводу что	1	1
55	что иное как	2	1
56	не было ни	1	1
57	в этих случаях	3	1
58	не что иное	2	1
59	тем не менее	2	1
60	дело не в	1	1
61	для того чтобы	6	1
62	а именно в	2	1
63	на первый взгляд	1	1
64	можно говорить что	1	1
