N	3gram	Trubetskoy_1	formyVre
1	то же время	2	9
2	в то же	2	6
3	и того же	1	5
4	одного и того	1	5
5	и в то	1	5
6	в связи с	3	5
7	для того чтобы	5	5
8	в том числе	5	4
9	нашей точки зрения	1	3
10	по отношению к	1	3
11	до сих пор	5	3
12	в этом отношении	2	3
13	с нашей точки	1	3
14	мы уже говорили	1	3
15	не может быть	1	3
16	между этими двумя	2	3
17	в то время	1	3
18	и в сущности	1	2
19	но все же	4	2
20	в соответствии с	1	2
21	с точки зрения	6	2
22	в отличие от	1	2
23	друг на друга	2	2
24	том числе и	4	2
25	но по существу	1	2
26	вместе с тем	8	2
27	что в таком	1	2
28	же что и	1	2
29	в xvii веке	1	2
30	так же как	3	2
31	с одной стороны	7	2
32	может быть и	2	2
33	по сравнению с	2	2
34	друг к другу	1	2
35	в широком смысле	1	2
36	жизни то есть	1	2
37	с самого начала	2	2
38	той или иной	2	2
39	в том что	3	2
40	к тому же	4	2
41	а следовательно и	1	1
42	и путь к	1	1
43	одном и том	1	1
44	имеем в виду	1	1
45	том что все	1	1
46	в самом деле	1	1
47	связан и с	1	1
48	которой нет ничего	1	1
49	же время он	1	1
50	но все это	2	1
51	главным образом в	3	1
52	представлены и в	1	1
53	принципиально отличается от	1	1
54	сами по себе	1	1
55	особенно важное значение	1	1
56	с тем что	1	1
57	совершенно ясно что	1	1
58	с тем и	2	1
59	и для того	2	1
60	совершенно так же	1	1
61	в значительной мере	2	1
62	в одном и	1	1
63	совершенно иной характер	1	1
64	до известной степени	1	1
65	не имеет ни	1	1
66	в данном случае	1	1
67	но в то	1	1
68	закономерности этого мира	1	1
69	тот факт что	1	1
70	смысле этого слова	1	1
71	и том же	1	1
72	так и в	1	1
73	и в этом	2	1
74	но вместе с	2	1
75	все более и	1	1
76	того же материала	1	1
77	во всяком случае	6	1
78	что касается до	1	1
79	и все же	1	1
80	сих пор не	1	1
81	что и у	1	1
82	те же что	1	1
83	что происходит в	1	1
84	лишь то что	1	1
85	все эти элементы	1	1
86	в свою очередь	1	1
87	и у них	1	1
88	о том что	4	1
89	более и более	1	1
90	он не имеет	2	1
91	мы имеем в	1	1
92	между собой поэтому	1	1
93	старости и смерти	1	1
94	все эти особенности	1	1
95	бросающееся в глаза	1	1
96	так как по	1	1
97	друг с другом	5	1
98	этими двумя моментами	1	1
99	в себе не	1	1
