N	2gram	Vygotskiy__1	Poddanst
1	не только	16	17
2	и в	23	14
3	и не	9	12
4	в области	3	11
5	в этом	17	10
6	в отношении	10	10
7	в качестве	9	9
8	но в	5	9
9	то же	8	9
10	в том	24	9
11	хотя бы	4	8
12	только в	6	7
13	с к	1	7
14	в то	7	7
15	же время	2	7
16	в ней	1	6
17	было бы	4	6
18	но и	14	6
19	в смысле	2	6
20	отношении к	1	5
21	в которых	3	5
22	с другой	10	5
23	может быть	14	5
24	и пр	2	5
25	не в	4	5
26	если бы	5	4
27	а также	1	4
28	в своем	3	4
29	и к	4	4
30	как бы	11	4
31	и если	3	4
32	том что	21	4
33	не может	12	4
34	и потому	2	4
35	в котором	4	4
36	по себе	5	4
37	что в	14	4
38	мы должны	5	4
39	а в	2	4
40	то что	17	4
41	и т	1	3
42	мы не	7	3
43	столь же	6	3
44	между тем	9	3
45	это не	1	3
46	вслед за	2	3
47	хотя и	2	3
48	и как	5	3
49	с одной	8	3
50	в себе	6	3
51	в нем	1	3
52	для того	15	3
53	заключается в	8	3
54	прежде всего	10	3
55	одной стороны	9	3
56	с тем	7	3
57	что мы	5	3
58	и без	1	3
59	с точки	18	3
60	но не	4	3
61	наряду с	1	3
62	могут быть	3	3
63	тем самым	5	3
64	потому что	6	3
65	точки зрения	26	3
66	и это	3	2
67	отношения к	3	2
68	например в	1	2
69	в сфере	3	2
70	в ее	2	2
71	переход от	1	2
72	есть не	2	2
73	которую мы	4	2
74	по сравнению	6	2
75	только это	1	2
76	к началу	1	2
77	но к	1	2
78	никак не	1	2
79	в значительной	2	2
80	во всех	3	2
81	говорить о	2	2
82	в общем	3	2
83	во всей	4	2
84	со стороны	1	2
85	из важнейших	2	2
86	отнюдь не	1	2
87	с этим	6	2
88	того что	15	2
89	стороны и	1	2
90	в проблеме	1	2
91	главным образом	2	2
92	и других	3	2
93	в его	14	2
94	из них	1	2
95	в виде	2	2
96	не к	2	2
97	в силу	6	2
98	и вот	2	2
99	как раз	4	2
100	именно как	1	2
101	и с	9	2
102	именно в	6	2
103	и мы	3	2
104	и тем	6	2
105	в жизни	1	2
106	для них	1	2
107	в них	2	2
108	не было	1	2
109	а не	3	2
