N	4gram	Vygotskiy__6	Stilisti
1	не что иное как	1	2
2	в зависимости от того	1	2
3	одной и той же	3	2
4	вместе с тем и	2	2
5	в связи с этим	1	2
6	есть не что иное	1	2
7	как по отношению к	1	1
8	одного и того же	4	1
9	в одной и той	2	1
10	и не может быть	1	1
11	и тем самым не	1	1
12	в собственном смысле слова	1	1
13	имеет первостепенное значение для	1	1
14	которой как мы видели	1	1
15	которое может быть понято	1	1
16	по сравнению с его	1	1
17	но вместе с тем	1	1
18	до того времени когда	1	1
19	с другой стороны развитие	1	1
20	одним из главнейших предметов	1	1
21	нет и не может	1	1
22	с самого начала своего	1	1
23	одном и том же	2	1
24	значений в зависимости от	1	1
25	в гораздо большей степени	1	1
