N	2gram	Bakhtin_Pr_1	Mirosoze
1	и в	38	46
2	в нем	15	22
3	может быть	26	21
4	в этом	15	20
5	не только	9	18
6	и не	42	18
7	никогда не	5	18
8	для него	1	18
9	есть лишь	3	17
10	но и	9	15
11	не может	27	15
12	человека в	2	14
13	как и	7	13
14	а не	5	13
15	не есть	6	13
16	друг друга	1	12
17	прежде всего	13	12
18	и он	2	11
19	не было	2	11
20	но он	1	11
21	в ней	4	11
22	у нас	2	11
23	но в	4	10
24	в себе	4	10
25	он не	3	10
26	не в	7	9
27	не знает	3	9
28	и есть	2	8
29	отношение к	10	8
30	в своем	5	8
31	она не	2	8
32	как бы	22	8
33	но это	3	8
34	человека и	1	7
35	ивана карамазова	2	7
36	в мире	3	7
37	как в	4	7
38	и к	3	7
39	в нашем	4	7
40	в этой	1	7
41	хотя бы	4	7
42	и потому	4	7
43	и для	11	7
44	что он	2	7
45	вопрос о	1	6
46	что это	2	6
47	и здесь	2	6
48	так же	1	6
49	того что	2	6
50	жизни и	1	6
51	то же	5	5
52	есть не	2	5
53	я не	2	5
54	в самом	7	5
55	бы и	1	5
56	и вот	1	5
57	что все	2	5
58	в своей	7	5
59	во всем	2	5
60	и его	16	5
61	к тому	1	5
62	и это	3	5
63	это не	5	5
64	в его	43	5
65	свою свободу	1	5
66	для того	2	5
67	то что	8	5
68	образ и	1	5
69	и все	3	5
70	также и	3	4
71	к чему	2	4
72	с его	2	4
73	есть что-то	1	4
74	нет в	1	4
75	том что	3	4
76	его отношение	1	4
77	тому что	1	4
78	не имеет	9	4
79	того чтобы	2	4
80	должны быть	4	4
81	должен быть	2	4
82	что у	1	4
83	так и	5	4
84	себя в	2	4
85	уже не	1	4
86	вопроса о	3	4
87	что и	2	4
88	в свою	2	4
89	они не	3	4
90	до конца	1	4
91	в боге	1	4
92	есть уже	1	4
93	что в	7	4
94	все что	3	4
95	смысле слова	2	3
96	чувствовать себя	1	3
97	стали бы	1	3
98	это и	1	3
99	к другому	1	3
100	высшей степени	5	3
101	и самого	1	3
102	и на	3	3
103	иное как	1	3
104	в чем	2	3
105	менее всего	3	3
106	как он	1	3
107	душу и	1	3
108	в россии	2	3
109	в каждом	2	3
110	и с	17	3
111	его в	9	3
112	с самим	2	3
113	на почве	3	3
114	ни в	11	3
115	в них	5	3
116	в высшей	5	3
117	все равно	1	3
118	не для	1	3
119	можно ли	1	3
120	она никогда	1	3
121	что иное	1	3
122	и всегда	1	3
123	его он	1	3
124	только с	1	3
125	себя и	3	3
126	момент в	1	3
127	не существует	1	3
128	было в	1	3
129	если бы	3	3
130	с ним	5	3
131	и должно	3	3
132	о том	4	3
133	и во	2	3
134	к которой	1	3
135	в том	8	3
136	природой и	1	3
137	только в	13	3
138	есть в	1	3
139	творчестве достоевского	1	3
140	тем что	2	3
141	с другим	1	3
142	до сих	1	3
143	к которому	4	3
144	связано с	1	3
145	с которым	1	3
146	человек в	2	3
147	решения вопроса	1	3
148	в творчестве	1	3
149	жизни в	1	3
150	сих пор	1	3
151	и от	3	3
152	лишь как	4	3
153	теряет свою	1	3
154	отношении к	1	3
155	сказать что	4	3
156	не что	1	3
157	есть и	1	3
158	в своих	2	3
159	нем нет	1	2
160	отношения к	6	2
161	не имеют	2	2
162	и за	1	2
163	его не	2	2
164	в сфере	1	2
165	из подполья	1	2
166	науки и	1	2
167	который был	1	2
168	но она	2	2
169	во всех	11	2
170	то он	1	2
171	по отношению	21	2
172	себе и	1	2
173	она есть	1	2
174	преступление и	1	2
175	как к	2	2
176	хотя и	3	2
177	в действительности	1	2
178	есть ли	1	2
179	от своей	1	2
180	то в	1	2
181	и этим	6	2
182	в которой	1	2
183	момент его	2	2
184	бы не	2	2
185	и те	2	2
186	если он	1	2
187	и если	1	2
188	этого вопроса	1	2
189	не к	6	2
190	на этом	2	2
191	образа и	1	2
192	еще более	1	2
193	лишь в	2	2
194	не всегда	6	2
195	чем в	2	2
196	должно быть	5	2
197	в этих	2	2
198	точки зрения	8	2
199	место в	8	2
200	но эта	1	2
201	которые в	1	2
202	лишь момент	3	2
203	быть лишь	1	2
204	что есть	1	2
205	правда в	1	2
206	чем не	2	2
207	ничего не	6	2
208	связи с	2	2
209	в основе	5	2
210	и социального	1	2
211	к себе	2	2
212	оно не	3	2
213	приходит к	1	2
214	самим собою	2	2
215	можно было	4	2
216	по себе	1	2
217	и что	2	2
218	нас в	1	2
219	к нему	10	2
220	все время	1	2
221	подобно тому	1	2
222	которое было	1	2
223	но с	3	2
224	направлена на	1	2
225	мы увидим	3	2
226	а лишь	2	2
227	между тем	7	2
228	со своим	1	2
229	и других	2	2
230	и мир	2	2
231	не о	1	2
232	есть выражение	2	2
233	или иной	2	2
234	есть момент	1	2
235	уходит в	1	2
236	мы еще	1	2
237	души и	2	2
238	что не	4	2
239	человеческой жизни	1	2
240	личности в	1	2
241	вместе с	1	2
242	к своему	2	2
243	тому как	1	2
244	да и	3	2
245	но для	1	2
246	в более	4	2
247	его с	1	2
248	ее и	1	2
249	бы в	1	2
250	быть и	1	2
251	а в	6	2
252	направленной на	4	2
253	отношением к	1	2
254	но этот	1	2
255	жизни а	1	2
256	отношению к	19	2
257	и эта	2	2
258	с природой	1	1
259	культурного творчества	3	1
260	самом деле	6	1
261	он может	2	1
262	своей основной	1	1
263	мере в	1	1
264	не иначе	1	1
265	они остались	1	1
266	проникает в	2	1
267	от которых	1	1
268	должна быть	4	1
269	ницше и	1	1
270	значение но	2	1
271	этом направлении	1	1
272	существенно отличается	1	1
273	говорить о	3	1
274	свои права	1	1
275	это отношение	2	1
276	и ее	2	1
277	на мир	2	1
278	не чуждо	1	1
279	на них	3	1
280	этим не	1	1
281	и связь	1	1
282	можно и	2	1
283	тем как	5	1
284	а следовательно	1	1
285	художник и	2	1
286	есть ни	1	1
287	форме но	1	1
288	значение и	1	1
289	не все	2	1
290	если в	1	1
291	его во	1	1
292	в новом	1	1
293	для всякой	1	1
294	нет и	3	1
295	в свои	1	1
296	за пределы	12	1
297	человек может	1	1
298	которые не	1	1
299	которые могли	1	1
300	своем творчестве	1	1
301	с себя	1	1
302	все остальные	1	1
303	по внешним	1	1
304	могли бы	1	1
305	вопросом о	1	1
306	и как	8	1
307	я должен	2	1
308	в материал	1	1
309	вносит в	1	1
310	вот на	1	1
311	лежит на	1	1
312	ни один	1	1
313	в целом	3	1
314	формы в	1	1
315	и многообразный	1	1
316	все эти	5	1
317	бы только	1	1
318	только один	1	1
319	о других	1	1
320	на то	2	1
321	в первых	1	1
322	она становится	1	1
323	все те	1	1
324	перестает быть	4	1
325	они в	1	1
326	и социальной	1	1
327	он должен	2	1
328	есть та	1	1
329	у толстого	1	1
330	не могли	2	1
331	в плане	7	1
332	как момент	3	1
333	всех своих	2	1
334	значительной степени	1	1
335	что является	1	1
336	они должны	1	1
337	в другом	2	1
338	их и	2	1
339	и менее	1	1
340	входит в	8	1
341	на протяжении	1	1
342	которым все	1	1
343	с прошлым	1	1
344	было бы	8	1
345	к миру	3	1
346	и тем	3	1
347	так называемого	1	1
348	она и	1	1
349	что совершенно	2	1
350	этого не	1	1
351	с тем	1	1
352	и уже	1	1
353	нигде не	1	1
354	она неизбежно	1	1
355	не проникает	1	1
356	потому и	1	1
357	на себя	1	1
358	и становится	7	1
359	но я	1	1
360	которую он	1	1
361	переносится в	1	1
362	но если	1	1
363	можно найти	1	1
364	и без	1	1
365	в котором	2	1
366	с точки	6	1
367	к одному	1	1
368	и оправдание	1	1
369	себе а	1	1
370	в которых	1	1
371	значение для	3	1
372	совершенно определенно	1	1
373	и более	2	1
374	иной раз	1	1
375	этого движения	1	1
376	но они	4	1
377	это чувство	1	1
378	человека но	1	1
379	словами о	1	1
380	как о	1	1
381	мир человека	1	1
382	и именно	2	1
383	нашего духа	1	1
384	не бывший	1	1
385	в самых	1	1
386	форма не	4	1
387	к такому	1	1
388	та или	1	1
389	разорванности и	1	1
390	следовательно и	1	1
391	и весь	2	1
392	или как	3	1
393	или иная	1	1
394	есть то	1	1
395	и теперь	1	1
396	в сознании	1	1
397	до того	1	1
398	исторического процесса	1	1
399	и искусства	2	1
400	уже и	1	1
401	представлять себе	4	1
402	в нее	1	1
403	нуждаться в	3	1
404	в момент	1	1
405	не могут	2	1
406	искусства от	1	1
407	и часто	1	1
408	за его	3	1
409	отличается от	2	1
410	мир на	1	1
411	как человек	1	1
412	по сравнению	1	1
413	творчества не	1	1
414	как не	1	1
415	всего этого	1	1
416	в ее	4	1
417	в пределах	6	1
418	приводит к	3	1
419	дано в	3	1
420	как с	1	1
421	на нее	1	1
422	что кроме	1	1
423	не с	4	1
424	мог бы	1	1
425	начинается в	1	1
426	мира и	1	1
427	разрыв с	1	1
428	на что	1	1
429	чувствует свою	1	1
430	со словами	2	1
431	культура есть	1	1
432	оценок и	2	1
433	с человеком	1	1
434	средством для	1	1
435	а также	1	1
436	в самой	2	1
437	культуре не	1	1
438	направлений и	1	1
439	в значительной	2	1
440	до известной	1	1
441	не выходит	1	1
442	своему значению	1	1
443	это в	1	1
444	во втором	1	1
445	ибо и	1	1
446	и только	4	1
447	но нельзя	2	1
448	нем и	2	1
449	слова для	1	1
