N	3gram	Losev_Vlad_2	VeschiIm
1	и т д	1	20
2	не может быть	1	18
3	это значит что	1	17
4	бы то ни	1	9
5	и больше ничего	1	9
6	не что иное	1	8
7	что иное как	1	8
8	от всего прочего	1	6
9	в том что	9	6
10	по крайней мере	4	6
11	на то что	2	6
12	содержит в себе	4	5
13	тем не менее	6	5
14	в свою очередь	2	5
15	было бы и	1	4
16	и то что	5	4
17	не только в	2	4
18	в то же	3	4
19	то же время	3	4
20	с точки зрения	3	4
21	сам по себе	2	3
22	и в то	1	3
23	можно было бы	2	3
24	более или менее	3	3
25	только то что	1	3
26	в самом деле	1	3
27	вместе с тем	1	3
28	в собственном смысле	1	3
29	само по себе	2	3
30	в отрыве от	1	3
31	заключается в том	2	2
32	так или иначе	3	2
33	никакого отношения к	3	2
34	и в частности	1	2
35	можно сказать что	1	2
36	нужно было бы	1	2
37	ни тем более	1	2
38	для этого нужно	1	2
39	не может не	1	2
40	всего прочего и	1	2
41	дело в том	3	2
42	но то что	1	2
43	но даже и	1	2
44	в данном случае	2	2
45	о том что	3	1
46	а в том	2	1
47	в этом смысле	1	1
48	совершенно ясно и	1	1
49	только в очень	1	1
50	или по крайней	2	1
51	в самом начале	1	1
52	только тогда когда	1	1
53	и во всяком	1	1
54	также и для	1	1
55	было также и	1	1
56	кроме того что	1	1
57	общение между собою	1	1
58	и не в	1	1
59	а в с	1	1
60	оно может быть	1	1
61	но в то	1	1
62	также и то	1	1
63	но и она	1	1
64	от нас в	1	1
65	только и может	2	1
66	в этом случае	1	1
67	что бы то	1	1
68	в конце концов	3	1
69	мы уже сказали	1	1
70	он все же	1	1
71	может быть и	1	1
72	нельзя было сказать	1	1
73	до сих пор	1	1
74	на первый план	2	1
75	смысла и больше	1	1
76	в той же	1	1
77	необходимо сказать даже	1	1
78	в себе в	1	1
79	в с а	1	1
80	и прежде всего	1	1
81	даже больше того	2	1
82	сказать даже больше	1	1
83	что несмотря на	1	1
84	и как бы	1	1
85	иной раз уже	1	1
86	есть уже нечто	1	1
87	между прочим и	2	1
88	в то время	6	1
89	все дело заключается	1	1
90	но что это	1	1
91	несмотря на все	2	1
92	то и в	1	1
93	взятый сам по	1	1
94	и в нем	1	1
95	имеет никакого отношения	1	1
96	как раз и	1	1
97	мы будем говорить	2	1
98	и тем не	1	1
99	случае мы не	1	1
100	прибавить еще и	2	1
101	только в то	1	1
102	то что можно	1	1
103	может остановиться на	1	1
104	но все же	1	1
105	прежде всего на	1	1
106	остановиться только на	1	1
107	далеко не все	1	1
108	отрыве от всего	1	1
109	заключается не в	1	1
110	с этой стороны	1	1
111	в том чтобы	2	1
112	ничего не было	1	1
113	имеет дело с	1	1
114	и все же	2	1
115	то время как	1	1
116	для того чтобы	1	1
117	в подлинном смысле	1	1
118	том что он	2	1
119	не может остановиться	1	1
120	не в том	3	1
121	вещей но это	1	1
122	не то что	2	1
123	то что я	1	1
124	не имеет никакого	2	1
125	тот же самый	1	1
126	во всяком случае	6	1
127	нужно сказать что	1	1
128	все же это	1	1
