N	3gram	Bakhtin_Pr_2	Otkroven
1	записок из подполья	1	5
2	у него в	1	5
3	из подполья и	1	3
4	в преступлении и	2	3
5	в нем нет	1	3
6	преступлении и наказании	2	3
7	в романах достоевского	5	3
8	для того чтобы	1	3
9	что же это	1	2
10	и в этом	6	2
11	в этом мире	1	2
12	и ивана карамазова	1	2
13	у него не	1	2
14	что у него	1	2
15	в дневнике писателя	1	2
16	не может быть	6	2
17	достоевский прежде всего	2	2
18	же это за	1	2
19	своем художественном творчестве	1	2
20	в своем художественном	1	2
21	он прежде всего	2	2
22	смысле этого слова	2	1
23	о человеке в	1	1
24	в другом месте	1	1
25	она и не	1	1
26	в обычном смысле	1	1
27	и ни с	1	1
28	униженным и оскорбленным	1	1
29	освобождения человека от	1	1
30	по сравнению с	2	1
31	хотя и не	1	1
32	самом начале романа	1	1
33	по природе своей	1	1
34	всего творчества достоевского	1	1
35	остается и в	1	1
36	в этих словах	1	1
37	прежде всего в	1	1
38	друг к другу	3	1
39	в самом деле	3	1
40	нет объективного изображения	1	1
41	как бы в	2	1
42	и в том	2	1
43	он не только	2	1
44	в бесах нет	1	1
45	преступление и наказание	2	1
46	и человеческих отношений	1	1
47	его творчества но	1	1
48	достоевского не было	1	1
49	к нему как	2	1
50	у достоевского нет	1	1
51	и не может	2	1
52	и действительно в	1	1
53	еще одну особенность	1	1
54	но есть у	1	1
55	потому что у	2	1
56	с ним вот	2	1
57	само по себе	2	1
58	он и не	2	1
59	к творчеству достоевского	1	1
60	о том что	3	1
61	в этом отношении	2	1
62	и в самом	2	1
63	у самого достоевского	1	1
64	жизни не есть	1	1
65	он говорит в	1	1
66	каждом из них	2	1
67	в том что	4	1
68	но и ее	1	1
69	он ни был	1	1
70	на то что	2	1
71	бы он ни	1	1
72	нему как к	1	1
73	нужно отметить что	1	1
74	не так как	1	1
75	в каждом из	2	1
76	из подполья но	1	1
77	друг с другом	2	1
78	в братьях карамазовых	2	1
79	в самом начале	3	1
80	или лучше сказать	1	1
81	у достоевского есть	1	1
82	а не только	2	1
83	никогда не оставляет	2	1
84	как бы и	1	1
85	преступления и наказания	1	1
86	творчестве он прежде	1	1
87	и в ее	1	1
88	достоевский и не	1	1
89	раскольникова и ивана	1	1
90	у достоевского человек	1	1
91	в противоречии с	1	1
92	в публицистических статьях	1	1
93	есть у достоевского	1	1
94	и в его	3	1
95	и мыслей в	1	1
