N	3gram	Tiupa_Hudo_1	Russkaja
1	то же время	5	10
2	в то же	5	10
3	с точки зрения	3	9
4	в том что	7	7
5	для того чтобы	2	6
6	более или менее	5	4
7	бы то ни	1	4
8	в том случае	1	4
9	не может быть	3	4
10	в этом случае	1	3
11	том случае если	1	3
12	к вопросу о	1	3
13	той или иной	4	3
14	точно так же	1	2
15	в настоящее время	1	2
16	в том и	2	2
17	что он не	1	2
18	с самим собой	1	2
19	все что может	1	2
20	не только к	1	2
21	и в том	1	2
22	того или иного	3	2
23	о том что	1	2
24	ни к чему	1	2
25	и тем самым	1	2
26	друг от друга	1	2
27	к тому что	2	2
28	сама по себе	2	2
29	и того же	2	1
30	и в жизни	1	1
31	состоит в том	5	1
32	прежде всего в	1	1
33	в свою очередь	2	1
34	как бы не	1	1
35	по отношению к	9	1
36	в том числе	2	1
37	то же самое	1	1
38	точки зрения в	1	1
39	может быть назван	1	1
40	в своем сознании	1	1
41	до известной степени	2	1
42	в единое целое	2	1
43	отношение человека к	1	1
44	только то что	1	1
45	том числе и	1	1
46	заключает в себе	1	1
47	перед нами не	1	1
48	тот или иной	2	1
49	в противном случае	2	1
50	по крайней мере	1	1
51	в значительной степени	1	1
52	в основе его	1	1
53	и т.д эта	1	1
54	то ни было	1	1
55	к чему не	1	1
56	как видно из	1	1
57	в этом состоит	1	1
58	того что не	1	1
59	по себе еще	1	1
60	в связи с	1	1
61	внутренней и внешней	2	1
62	в полной мере	1	1
63	так же как	1	1
64	относится не только	1	1
65	она могла бы	1	1
66	а в том	1	1
67	заключается в том	1	1
68	тех или иных	2	1
69	это и есть	1	1
70	себя только в	1	1
71	он еще не	1	1
72	одного и того	2	1
73	тем не менее	3	1
74	и прежде всего	1	1
75	быть не может	1	1
76	на первый взгляд	1	1
77	к тому же	1	1
78	себе еще не	1	1
