N	2gram	Bakhtin_sl_1	KulturaY
1	и т	28	54
2	т п	23	41
3	точки зрения	16	23
4	и в	41	23
5	в том	3	22
6	не только	16	17
7	с точки	8	16
8	в этом	12	16
9	было бы	3	16
10	может быть	14	14
11	в самом	5	13
12	не менее	1	12
13	потому что	2	12
14	для того	2	12
15	того чтобы	1	11
16	того что	3	11
17	в его	13	11
18	а не	15	11
19	можно было	2	11
20	том что	2	11
21	и не	16	10
22	у нас	2	10
23	еще не	4	9
24	прежде всего	8	9
25	таким образом	9	9
26	хотя бы	3	9
27	тем не	1	9
28	так как	3	9
29	т д	5	8
30	как на	1	8
31	между прочим	1	8
32	лишь в	4	8
33	зависимости от	3	8
34	сих пор	2	8
35	до сих	2	8
36	уже не	2	8
37	в виду	1	8
38	если бы	1	8
39	все эти	9	7
40	те же	2	7
41	речи в	4	7
42	слова и	13	7
43	сказать что	2	7
44	должно быть	2	7
45	в языке	5	7
46	в зависимости	3	7
47	и что	1	7
48	с другой	5	7
49	если мы	2	7
50	или иной	9	7
51	на фоне	7	7
52	в данном	3	7
53	не может	14	6
54	при этом	6	6
55	так и	11	6
56	связи с	2	6
57	с помощью	1	6
58	в их	4	6
59	в общем	1	6
60	то же	14	6
61	тот же	1	6
62	только в	6	6
63	ничего не	4	6
64	для этого	1	6
65	и тем	2	6
66	могут быть	19	6
67	что и	1	6
68	языка в	16	6
69	о языке	1	6
70	о том	3	6
71	не значит	1	5
72	все же	7	5
73	вовсе не	7	5
74	и есть	1	5
75	не в	7	5
76	от того	1	5
77	а в	6	5
78	той или	9	5
79	совершенно не	2	5
80	хотя и	2	5
81	не могут	3	5
82	как и	4	5
83	как мы	8	5
84	из этих	3	5
85	слов и	2	5
86	в первом	3	5
87	далеко не	5	5
88	в поэзии	3	5
89	также и	3	5
90	тем более	1	5
91	что она	1	5
92	как бы	12	5
93	но это	1	5
94	ответственность за	2	4
95	для нас	2	4
96	данном случае	3	4
97	тех же	1	4
98	только как	1	4
99	в целом	2	4
100	того же	6	4
101	не было	3	4
102	что не	1	4
103	же мы	1	4
104	к языку	3	4
105	языка как	4	4
106	в сущности	13	4
107	в своей	7	4
108	как раз	2	4
109	целый ряд	1	4
110	в ее	2	4
111	в таком	1	4
112	между тем	2	4
113	этом случае	2	4
114	которые в	3	4
115	в той	10	4
116	и о	2	4
117	один из	4	4
118	в слове	7	4
119	не столько	1	4
120	одной стороны	4	4
121	слова в	8	4
122	этого слова	1	4
123	с одной	4	4
124	тому что	2	4
125	литературный язык	8	4
126	столь же	2	4
127	а также	2	4
128	п и	1	4
129	как в	8	4
130	точка зрения	8	4
131	заключается в	1	4
132	в своем	3	4
133	и с	4	3
134	языка но	4	3
135	п в	1	3
136	что как	1	3
137	этого языка	1	3
138	в какой	1	3
139	там где	4	3
140	мы не	2	3
141	зрения на	7	3
142	бы не	1	3
143	бы и	3	3
144	речи как	1	3
145	то в	2	3
146	форма и	1	3
147	литературного языка	20	3
148	но не	2	3
149	и только	1	3
150	в которых	1	3
151	время в	1	3
152	есть не	1	3
153	с этой	3	3
154	отношение к	7	3
155	а лишь	1	3
156	но если	1	3
157	на самом	2	3
158	но как	1	3
159	это не	6	3
160	мы видели	1	3
161	но и	16	3
162	и к	5	3
163	они не	1	3
164	в то	14	3
165	в отношении	6	3
166	языку в	1	3
167	она не	3	3
168	ни в	1	3
169	и содержание	1	3
170	а с	2	3
171	той же	2	3
172	установка на	6	3
173	может иметь	1	3
174	другой стороны	4	3
175	по преимуществу	4	3
176	именно в	3	3
177	значит не	1	3
178	того или	2	3
179	этих слов	1	3
180	к тому	3	3
181	в процессе	4	3
182	в результате	3	3
183	он не	3	3
184	в англии	1	3
185	нас в	2	3
186	этого рода	1	3
187	по существу	3	3
188	в каком	1	3
189	или иного	2	3
190	в ней	4	3
191	был бы	2	3
192	формы и	3	3
193	слово в	10	3
194	речи но	2	3
195	не есть	2	3
196	и более	1	3
197	точек зрения	5	2
198	связи и	1	2
199	как слово	1	2
200	или иное	1	2
201	и здесь	3	2
202	синтаксиса и	2	2
203	не знает	1	2
204	языка и	12	2
205	и того	1	2
206	смысл и	1	2
207	в свое	3	2
208	во всяком	7	2
209	языком а	2	2
210	можно сказать	2	2
211	в двух	1	2
212	как таковой	1	2
213	на том	2	2
214	что они	2	2
215	именно на	1	2
216	так же	2	2
217	отличается от	1	2
218	эти два	1	2
219	здесь не	2	2
220	на этот	1	2
221	кроме того	4	2
222	и тот	1	2
223	мы найдем	3	2
224	и иной	1	2
225	грамматическая система	1	2
226	свое время	1	2
227	в условиях	2	2
228	и лингвистикой	1	2
229	дело не	2	2
230	и без	1	2
231	с другими	5	2
232	простор для	1	2
