N	2gram	Medvedev_F_2	Dialekti
1	не есть	3	47
2	и не	20	30
3	т е	26	30
4	может быть	23	20
5	и в	38	19
6	не только	9	19
7	по себе	7	18
8	и т	14	17
9	а не	6	16
10	в себе	1	15
11	т д	5	15
12	потому что	2	14
13	и даже	4	14
14	то что	6	14
15	в том	11	14
16	как бы	4	14
17	так как	4	14
18	вовсе не	11	13
19	и все	3	12
20	точки зрения	8	12
21	но и	13	12
22	то же	6	12
23	не просто	2	12
24	как и	9	10
25	что это	3	10
26	в нем	13	10
27	ни в	2	10
28	и как	3	10
29	так и	8	10
30	это не	2	10
31	сказать что	2	10
32	том что	2	10
33	не может	14	9
34	крайней мере	1	9
35	никогда не	2	9
36	времени и	2	9
37	же и	2	9
38	по крайней	1	9
39	прежде всего	15	8
40	не в	15	8
41	в своей	7	8
42	с точки	7	8
43	в этом	27	8
44	она не	2	8
45	только тогда	1	7
46	так что	1	7
47	как это	2	7
48	есть не	1	7
49	что в	7	7
50	совершенно не	4	7
51	и притом	1	7
52	сама по	1	7
53	и к	4	7
54	должно быть	2	7
55	в поэзии	12	7
56	но что	1	7
57	и то	2	7
58	как будто	1	7
59	но это	2	7
60	жизни и	3	6
61	что они	4	6
62	что не	4	6
63	в то	5	6
64	но не	2	6
65	того что	3	6
66	конечно не	1	6
67	отнюдь не	8	6
68	да и	1	6
69	и может	3	6
70	и та	1	6
71	что он	5	6
72	же время	5	5
73	говорить о	5	5
74	должна быть	5	5
75	а именно	2	5
76	как раз	6	5
77	в смысле	1	5
78	но как	2	5
79	можно сказать	1	5
80	и его	21	5
81	не то	3	5
82	только в	6	5
83	и с	9	5
84	иной раз	1	5
85	в самом	16	5
86	что и	8	5
87	и стало	1	5
88	и пр	21	5
89	с другой	3	5
90	от смысла	3	5
91	о том	1	5
92	все равно	1	5
93	и это	2	5
94	в виду	2	5
95	и следовательно	1	5
96	не обязательно	1	5
97	или иное	1	4
98	все же	8	4
99	поэзии и	1	4
100	в другом	1	4
101	в связи	10	4
102	таким образом	20	4
103	же это	2	4
104	но он	1	4
105	при этом	9	4
106	нет никакой	1	4
107	связи с	13	4
108	говорят что	1	4
109	к нему	3	4
110	с ним	2	4
111	независимо от	4	4
112	хотя бы	6	4
113	самом деле	8	4
114	он не	6	4
115	та же	2	4
116	только то	1	4
117	а в	6	4
118	и только	5	4
119	в ее	2	4
120	в таком	2	4
121	за пределы	1	4
122	как он	1	4
123	как таковой	3	4
124	в одной	2	4
125	таково же	1	4
126	ясно что	1	4
127	том смысле	3	4
128	без всякого	1	4
129	другой стороны	4	4
130	могут быть	6	4
131	не могут	7	4
132	быть и	3	4
133	в каком	1	4
134	все это	3	4
135	и есть	1	4
136	уже в	2	4
137	есть только	2	4
138	что оно	4	4
139	то или	1	4
140	той или	1	4
141	и по	2	4
142	в своем	1	4
143	это за	1	3
144	должны быть	1	3
145	с нею	2	3
146	только как	1	3
147	или другой	1	3
148	от этого	3	3
149	его с	3	3
150	мы говорим	4	3
151	и их	3	3
152	не было	6	3
153	не менее	1	3
154	кроме того	2	3
155	же мы	1	3
156	всех этих	3	3
157	смысле что	2	3
158	даже в	2	3
159	иное как	1	3
160	как миф	1	3
161	и где	1	3
162	а только	2	3
163	его в	3	3
164	время не	1	3
165	таком случае	1	3
166	же не	1	3
167	от поэтического	1	3
168	то как	1	3
169	сами по	2	3
170	что иное	1	3
171	тут не	1	3
172	в этих	2	3
173	как они	4	3
174	они не	4	3
175	это только	1	3
176	как мы	7	3
177	этого нет	1	3
178	все время	6	3
179	в той	2	3
180	это и	5	3
181	что если	1	3
182	и мы	1	3
183	ведь это	1	3
184	в чем	2	3
185	и от	2	3
186	эти вопросы	1	3
187	с этим	5	3
188	ничего не	4	3
189	как только	1	3
190	о чем	1	3
191	уже не	7	3
192	это было	3	3
193	мы имеем	1	3
194	может иметь	1	3
195	из них	4	3
196	сам по	3	3
197	то оно	1	3
198	в этой	6	3
199	же как	3	3
200	не что	1	3
201	он есть	1	3
202	вопрос о	1	3
203	это время	2	3
204	форма и	1	3
205	была бы	3	3
206	в целях	2	3
207	и тут	1	3
208	было бы	6	3
209	и более	2	3
210	как же	1	3
