N	2gram	Bakhtin_Fr_2	Psycholo
1	то что	6	44
2	и в	49	33
3	в этом	15	28
4	как бы	11	25
5	потому что	1	24
6	для того	1	23
7	том что	4	22
8	того чтобы	2	22
9	может быть	5	22
10	что в	2	21
11	в том	3	21
12	о том	3	20
13	что он	3	20
14	таким образом	7	13
15	то есть	32	13
16	так же	2	13
17	и не	15	13
18	все это	9	13
19	сказать что	6	13
20	самом деле	1	12
21	в самом	3	12
22	было бы	3	12
23	к тому	1	12
24	и все	3	12
25	так как	6	12
26	он не	1	11
27	что все	1	11
28	на то	2	10
29	если бы	1	10
30	в его	18	10
31	как она	1	10
32	не может	7	10
33	то же	7	9
34	в этой	10	9
35	как раз	1	9
36	в конце	2	8
37	для этого	1	8
38	вместе с	2	8
39	в своем	5	7
40	раз в	3	7
41	не только	17	7
42	в нем	9	7
43	так что	1	7
44	до конца	2	7
45	для нас	1	7
46	на самом	2	6
47	в сущности	8	6
48	в ней	2	6
49	что они	2	6
50	перед нами	1	6
51	все эти	7	6
52	в себе	4	6
53	и вот	3	6
54	во время	12	6
55	точки зрения	6	6
56	но он	6	6
57	что эта	1	6
58	в самой	2	6
59	это не	1	6
60	мы видим	1	6
61	у него	2	6
62	а не	1	6
63	мы должны	2	6
64	шекспира и	1	6
65	как на	4	6
66	это и	2	5
67	мы уже	6	5
68	в целом	1	5
69	и на	17	5
70	все же	7	5
71	целый ряд	2	5
72	и как	1	5
73	ясно что	1	5
74	как и	11	5
75	никогда не	5	5
76	и его	17	5
77	и это	3	5
78	с самого	1	5
79	и совершенно	1	5
80	мы будем	1	5
81	с ним	4	5
82	в какой	1	5
83	что для	3	5
84	вовсе не	10	5
85	мы можем	2	5
86	связь с	3	5
87	и есть	1	4
88	той же	1	4
89	в которой	1	4
90	я не	1	4
91	говорит о	1	4
92	том чтобы	1	4
93	могла бы	1	4
94	с тем	1	4
95	смысл и	2	4
96	в своей	5	4
97	знаем что	1	4
98	с точки	5	4
99	одна из	4	4
100	а в	4	4
101	с другом	1	4
102	так например	2	4
103	как мы	7	4
104	и о	4	4
105	можно было	3	4
106	жизнь и	2	4
107	об этом	1	4
108	о нем	1	4
109	того что	1	4
110	только в	13	4
111	в жизни	4	4
112	и других	3	4
113	из них	3	4
114	никто не	2	4
115	по поводу	2	4
116	что не	1	4
117	смысла и	2	4
118	целым рядом	1	4
119	в частности	1	4
120	друг с	1	4
121	с этой	1	4
122	первый раз	1	4
123	совершенно не	2	4
124	жизни и	7	4
125	ее в	2	4
126	это в	2	4
127	к этому	1	4
128	например в	1	3
129	к своей	1	3
130	и до	4	3
131	короля и	1	3
132	и этот	1	3
133	и за	2	3
134	этой фразы	1	3
135	это совершенно	1	3
136	в первый	1	3
137	как я	1	3
138	и он	1	3
139	но не	5	3
140	конце концов	1	3
141	как в	1	3
142	от этого	1	3
143	та же	2	3
144	кажется нам	1	3
145	что может	1	3
146	на этом	1	3
147	в основу	1	3
148	здесь мы	1	3
149	его в	1	3
150	должен был	2	3
151	ни в	3	3
152	далеко не	3	3
153	превращает их	1	3
154	всех этих	3	3
155	но если	1	3
156	совершенно иначе	1	3
157	их в	3	3
158	что этот	1	3
159	она не	1	3
160	в то	6	3
161	и для	1	3
162	во все	2	3
163	он видит	2	3
164	с ее	3	3
165	в пределах	2	3
166	в мире	2	3
167	так и	6	3
168	понятно что	2	3
169	и здесь	1	3
170	что и	1	3
171	во всей	1	3
172	с одной	3	3
173	конечно не	1	3
174	в виде	1	3
175	всяком случае	2	3
176	в одном	3	3
177	тем что	4	3
178	бы это	1	3
179	до сих	4	3
180	но и	13	3
181	на этот	1	3
182	здесь в	6	3
183	не было	4	3
184	одной стороны	3	3
185	эти слова	1	3
186	из которых	1	3
187	видит в	3	3
188	да и	3	3
189	еще раз	2	3
190	здравого смысла	2	3
191	сих пор	4	3
192	указывает на	1	3
193	тот же	5	3
194	за этим	1	3
195	в своих	4	3
196	во всяком	2	3
197	также и	3	2
198	и то	1	2
199	он может	1	2
200	силы и	1	2
201	с целым	1	2
202	что эти	1	2
203	с таким	1	2
204	мы имеем	1	2
205	на тему	1	2
206	и ее	1	2
207	литературы и	2	2
208	мечты и	1	2
209	не был	3	2
210	с его	5	2
211	во всех	6	2
212	точка зрения	3	2
213	себе и	2	2
214	в одной	1	2
215	чем мы	2	2
216	в художественном	2	2
217	что касается	2	2
218	однако не	1	2
219	и наконец	1	2
220	не в	1	2
221	и к	4	2
222	это просто	1	2
223	но в	4	2
224	тому как	2	2
225	всего романа	1	2
226	бы не	1	2
227	из этих	5	2
228	думать что	2	2
229	нами в	1	2
230	по словам	2	2
231	при этом	5	2
232	одной и	1	2
233	в нее	1	2
234	на все	3	2
235	в них	13	2
236	о которых	1	2
237	но вся	1	2
238	когда вся	1	2
239	можно найти	2	2
240	в такой	1	2
241	в котором	1	2
242	в их	2	2
243	место в	3	2
244	оказывается что	1	2
245	и той	1	2
246	не понимает	1	2
247	и эти	2	2
248	даже в	3	2
249	же мы	1	2
250	и именно	1	2
251	только не	1	2
252	больше чем	1	2
253	же время	6	2
254	может его	1	2
255	во всем	3	2
256	свидетельствуют о	1	2
257	только с	3	2
258	есть только	1	2
259	но все	4	2
260	просто на	1	2
261	и другим	1	2
262	без всякого	2	2
263	в ее	3	2
264	самое это	1	2
265	и когда	1	2
266	времени и	6	2
267	и с	6	2
268	ничего не	2	2
269	мире в	2	2
270	можно сказать	2	2
271	образом в	1	2
272	в виду	3	2
273	воли и	1	2
274	что самая	1	2
275	и та	1	2
276	знает что	1	2
277	должно было	1	2
278	и смысл	2	2
279	и она	1	2
280	один из	7	2
281	у шекспира	1	2
282	почти все	3	2
283	и кажется	1	2
284	никак нельзя	1	2
285	от одной	1	2
286	связи с	2	2
287	уже в	5	2
288	ни одного	1	2
289	кажется что	1	2
290	мы знаем	1	2
291	одно из	1	2
292	эти три	1	2
293	отклонения от	1	2
294	к самому	1	2
295	событие в	1	2
296	с другой	4	2
297	такое понимание	1	2
298	именно в	6	2
299	стороны он	1	2
300	несколько дней	1	2
301	прежде всего	19	2
302	не на	1	2
303	в руках	1	2
304	с конца	1	2
305	одна и	1	2
306	ни на	1	2
307	и потому	5	2
308	некоторые из	1	2
309	над ним	1	2
310	в тех	2	2
311	есть как	1	2
312	по существу	2	2
313	для понимания	2	2
314	он начинает	1	2
315	видят в	1	2
316	со всей	1	2
317	на самой	1	2
318	не является	1	2
319	и от	1	2
320	хотя бы	1	2
321	все они	1	2
322	и эта	2	2
323	другой стороны	3	2
324	он совершенно	1	1
325	этого романа	1	1
326	художественном произведении	1	1
327	ли можно	1	1
328	говоря о	1	1
329	еще можно	1	1
330	человека и	3	1
331	связана с	3	1
332	того же	1	1
333	с кем	1	1
334	в пятом	1	1
335	в средние	9	1
336	полным хозяином	1	1
337	очень много	2	1
338	тем же	1	1
339	своего романа	2	1
340	он всегда	1	1
341	с установлением	1	1
342	в какой-то	2	1
343	отдельных элементов	1	1
344	действительности и	1	1
345	к созданию	1	1
346	случае нельзя	1	1
347	в несколько	1	1
348	есть не	1	1
349	чтобы после	1	1
350	и значение	2	1
351	для своего	1	1
352	но никто	1	1
353	которую мы	1	1
354	еще много	1	1
355	он как	2	1
356	в деле	1	1
357	современников и	3	1
358	но даже	2	1
359	мы и	1	1
360	и со	3	1
361	и понимали	1	1
362	еще не	2	1
363	совершенно определенных	1	1
364	которое он	1	1
365	плане и	1	1
366	в создании	1	1
367	понятно в	1	1
368	значение и	1	1
369	по отношению	1	1
370	в общем	1	1
371	менее всего	3	1
372	несмотря на	3	1
373	и речи	1	1
374	за пределы	2	1
375	связи и	1	1
376	относится к	5	1
377	в истории	6	1
378	же цели	1	1
379	что во	1	1
380	который начал	1	1
381	же с	2	1
382	независимо от	1	1
383	дает нам	2	1
384	стороны и	1	1
385	как к	2	1
386	такого рода	2	1
387	один только	1	1
388	нельзя было	3	1
389	нового и	2	1
390	со своей	1	1
391	точку зрения	2	1
392	формы в	1	1
393	из той	1	1
394	романа это	1	1
395	в нашем	2	1
396	или во	1	1
397	только один	1	1
398	и те	1	1
399	как готовое	1	1
400	должны еще	2	1
401	не могла	1	1
402	так сказать	1	1
403	на его	2	1
404	весь свой	1	1
405	главным образом	1	1
406	нашла свое	1	1
407	в корне	1	1
408	новое и	1	1
409	и сам	1	1
410	в плане	3	1
411	чем она	2	1
412	из него	1	1
