N	2gram	Bakhtin_Pr_2	ViktorSh
1	в книге	1	3
2	конце концов	3	2
3	и в	45	2
4	том что	7	2
5	в том	8	2
6	в конце	4	2
7	и только	1	1
8	крайней мере	2	1
9	тем более	1	1
10	в устах	1	1
11	и почти	1	1
12	в другом	1	1
13	хотя бы	5	1
14	и не	42	1
15	все время	3	1
16	и его	8	1
17	потому что	8	1
18	я не	6	1
19	отношений но	1	1
20	не хочу	2	1
21	поэтического творчества	2	1
22	самом деле	4	1
23	другом месте	1	1
24	и т.д	3	1
25	все это	5	1
26	от других	1	1
27	по поводу	1	1
28	именно в	3	1
29	по своим	2	1
30	в их	4	1
31	как же	2	1
32	их как	1	1
33	дело в	1	1
34	говорили в	2	1
35	в частности	1	1
36	так в	1	1
37	стоит на	1	1
38	все то	2	1
39	ведь это	1	1
40	в которых	1	1
41	в самом	13	1
42	для них	3	1
43	только в	9	1
44	то же	5	1
45	ясно что	1	1
46	так как	5	1
47	далеко не	4	1
48	но это	2	1
49	в этом	20	1
50	да и	1	1
51	по крайней	2	1
52	а только	2	1
53	прозы в	1	1
54	на одном	1	1
55	по существу	1	1
56	к этому	4	1
