N	4gram	Vinokur_Ku_1	StatiiOP
1	в то же время	2	4
2	ср с другой стороны	1	2
3	когда речь идет о	1	2
4	и т д и	2	2
5	но с другой стороны	1	2
6	и в самом деле	2	2
7	заключается в том что	2	2
8	т д и т	2	1
9	в той мере в	5	1
10	пушкин и его современники	1	1
11	для того чтобы можно	1	1
12	по отношению к своему	1	1
13	том-то и дело что	1	1
14	в начале xix века	1	1
15	я имею в виду	1	1
16	в том чтобы выяснить	1	1
17	той мере в какой	5	1
18	и в то же	1	1
19	только в том случае	1	1
20	д и т д	2	1
21	что с точки зрения	1	1
22	в том-то и дело	1	1
23	я позволю себе в	1	1
24	ничего не имел бы	1	1
25	и т д почти	1	1
26	совсем не в том	1	1
27	в том что он	3	1
28	не трудно видеть что	1	1
29	только в применении к	1	1
30	указания на то что	1	1
31	и то обстоятельство что	1	1
32	и т д разумеется	1	1
33	не имел бы против	1	1
34	в том смысле что	1	1
35	ii и т д	1	1
36	того чтобы можно было	1	1
37	в каждом из этих	1	1
38	вовсе не в том	1	1
39	свидетельствует о том что	1	1
40	однако с другой стороны	1	1
41	но в том-то и	1	1
