N	2gram	Bakhtin_Pr_1	VrazhdaK
1	не только	9	9
2	в этом	15	8
3	и в	38	8
4	и что	2	8
5	но и	9	7
6	и все	3	7
7	то что	8	7
8	что в	7	7
9	все же	6	6
10	но в	4	6
11	в нем	15	6
12	как и	7	6
13	в котором	2	6
14	и с	17	6
15	в начале	2	6
16	и даже	3	6
17	в романе	4	6
18	то же	5	5
19	в то	4	5
20	же время	3	5
21	между тем	7	5
22	не было	2	5
23	в россии	2	5
24	и не	42	5
25	в ней	4	4
26	что он	2	4
27	в истории	2	4
28	целый ряд	1	4
29	при этом	5	4
30	это не	5	4
31	несмотря на	3	4
32	все это	3	4
33	в виду	4	4
34	с ним	5	4
35	о том	4	4
36	для нас	1	4
37	может быть	26	4
38	как бы	22	4
39	в своих	2	4
40	так же	1	4
41	из подполья	1	3
42	который был	1	3
43	я не	2	3
44	в чем	2	3
45	с его	2	3
46	в своем	5	3
47	и как	8	3
48	на то	2	3
49	его в	9	3
50	он не	3	3
51	далеко не	5	3
52	и уже	1	3
53	том что	3	3
54	но он	1	3
55	что есть	1	3
56	и его	16	3
57	связи с	2	3
58	человека в	2	3
59	и о	5	3
60	что у	1	3
61	и во	2	3
62	в его	43	3
63	в том	8	3
64	и у	2	3
65	тем что	2	3
66	в связи	2	3
67	к этому	2	3
68	отношения к	6	2
69	и он	2	2
70	столь же	2	2
71	но как	2	2
72	человека с	1	2
73	отнюдь не	19	2
74	в той	1	2
75	в этой	1	2
76	в себе	4	2
77	чувств и	1	2
78	в нашей	2	2
79	таким образом	10	2
80	в одну	1	2
81	в мире	3	2
82	в глазах	1	2
83	в них	5	2
84	рядом с	5	2
85	на первый	2	2
86	точки зрения	8	2
87	в своей	7	2
88	и ее	2	2
89	с точки	6	2
90	место в	8	2
91	не менее	4	2
92	том же	2	2
93	одна из	2	2
94	никогда не	5	2
95	в момент	1	2
96	к себе	2	2
97	его с	1	2
98	и это	3	2
99	на основе	6	2
100	в в	1	2
101	еще не	7	2
102	а также	1	2
103	этот момент	2	2
104	уже не	1	2
105	из них	1	2
106	его и	1	2
107	могли быть	1	2
108	для него	1	2
109	отношение к	10	2
110	к ним	1	2
111	с которым	1	2
112	о чем	1	2
113	не может	27	2
114	вместе с	1	2
115	в него	2	2
116	но это	3	2
117	а в	6	2
118	личность и	1	2
119	в свою	2	2
120	это в	1	2
121	себя как	5	1
122	а между	1	1
123	можно говорить	2	1
124	также и	3	1
125	человека и	1	1
126	и борьбы	1	1
127	это и	1	1
128	идет о	1	1
129	и есть	2	1
130	ему не	1	1
131	случае о	1	1
132	русский город	1	1
133	едва ли	3	1
134	в их	10	1
135	из всех	1	1
136	что уже	1	1
137	равно как	1	1
138	совпадает с	2	1
139	говорить о	3	1
140	это отношение	2	1
141	всего романа	1	1
142	него он	1	1
143	на них	3	1
144	первый план	2	1
145	содержания в	4	1
146	материала это	1	1
