N	3gram	Bakhtin_sl_1	VeschiIm
1	и т д	5	20
2	не может быть	1	18
3	бы то ни	1	9
4	то ни было	1	9
5	в том что	1	6
6	по крайней мере	1	6
7	может быть только	2	6
8	и то же	2	5
9	тем не менее	1	5
10	в свою очередь	2	5
11	одно и то	2	5
12	не только в	2	4
13	в то же	12	4
14	то же время	12	4
15	с точки зрения	8	4
16	вообще не есть	1	3
17	и в то	5	3
18	можно было бы	2	3
19	более или менее	3	3
20	так или иначе	1	2
21	и в частности	1	2
22	можно сказать что	1	2
23	а затем и	1	2
24	не есть еще	1	2
25	к тому что	2	2
26	в первом случае	2	2
27	этой точки зрения	1	2
28	и ничем не	1	2
29	не может не	5	2
30	дело в том	1	2
31	и в в	1	2
32	в данном случае	3	2
33	как бы ни	2	2
34	с этой точки	1	2
35	о том что	1	1
36	а не те	1	1
37	друг с другом	2	1
38	себя в этом	1	1
39	и во всяком	1	1
40	с одной стороны	4	1
41	одной из самых	1	1
42	и во всех	2	1
43	и не в	1	1
44	только так что	1	1
45	но в то	4	1
46	именно потому что	1	1
47	и с другой	1	1
48	не только не	1	1
49	в этом случае	2	1
50	они вообще не	1	1
51	тех или иных	1	1
52	с другой стороны	4	1
53	мы уже сказали	2	1
54	может быть и	1	1
55	до сих пор	2	1
56	и ничего не	1	1
57	и в этом	2	1
58	хотя бы и	3	1
59	и прежде всего	1	1
60	точка зрения на	2	1
61	ведь не из	1	1
62	в то время	2	1
63	человек имеет дело	1	1
64	мы не знаем	1	1
65	то и в	1	1
66	это не значит	1	1
67	один и единственный	1	1
68	в сущности всегда	1	1
69	так что мы	1	1
70	ни в какой	1	1
71	есть только в	1	1
72	и не может	2	1
73	мы видим что	1	1
74	в зависимости от	3	1
75	то время как	2	1
76	для того чтобы	1	1
77	в своей основной	1	1
78	эта точка зрения	1	1
79	в отношении к	6	1
80	во всяком случае	5	1
81	это было бы	1	1
82	на то или	1	1
83	что они не	1	1
84	становления и в	1	1
