N	3gram	Propp_Isto_3	UchenyiS
1	не может быть	1	4
2	с другой стороны	7	3
3	до сих пор	5	2
4	в том что	5	2
5	и то что	2	2
6	но прежде всего	1	1
7	и в различных	1	1
8	есть ли для	1	1
9	так или иначе	1	1
10	все же не	1	1
11	равно как и	1	1
12	в этом случае	5	1
13	ли для этого	1	1
14	с тем что	1	1
15	нас до сих	1	1
16	и прежде всего	1	1
17	уже знакомый нам	1	1
18	можно сказать что	1	1
19	у нас в	1	1
20	мы имеем в	2	1
21	на то что	1	1
22	они находятся в	1	1
23	то что было	1	1
24	у нас до	1	1
25	имеются не только	1	1
26	друг с другом	1	1
27	в буквальном смысле	1	1
28	если бы это	1	1
29	в данном случае	3	1
30	дело конечно не	1	1
31	может быть в	1	1
32	не только в	1	1
33	с одной стороны	2	1
