N	3gram	Kanaev_Sov_1	Problema
1	тем не менее	2	10
2	в том что	1	9
3	той или иной	1	8
4	то же самое	2	7
5	в связи с	1	7
6	в данном случае	1	7
7	сами по себе	1	6
8	во всяком случае	2	6
9	и в этом	1	6
10	в этом случае	1	5
11	по крайней мере	1	5
12	не может быть	4	5
13	что иное как	1	4
14	есть не что	1	4
15	бы то ни	1	4
16	в то же	1	4
17	не что иное	1	4
18	дело в том	1	3
19	не было бы	1	3
20	можно было бы	1	3
21	может быть и	2	3
22	то ни было	1	3
23	когда мы говорим	1	3
24	на этот раз	1	3
25	ровно ничего не	1	2
26	в настоящее время	2	2
27	с точки зрения	5	2
28	до сих пор	1	2
29	в отличие от	2	2
30	мы говорим о	1	2
31	и ни в	1	2
32	на самом деле	1	2
33	это значит что	1	2
34	ни о каком	1	2
35	и может быть	1	1
36	но это уже	1	1
37	всяком случае такого	1	1
38	как мы это	1	1
39	как и во	1	1
40	и есть то	1	1
41	этого и не	1	1
42	прежде всего мы	1	1
43	на этот вопрос	1	1
44	но если мы	1	1
45	и могут быть	1	1
46	с одной стороны	1	1
47	возникновения и развития	1	1
48	тот факт что	1	1
49	ничего общего не	1	1
50	собою ясно что	1	1
51	быть и речи	1	1
52	и не было	1	1
53	всяком случае не	1	1
54	в одном случае	1	1
55	так же как	1	1
56	состоит из одной	1	1
57	а может быть	1	1
58	и все же	1	1
59	мы не можем	6	1
60	равно как и	1	1
61	но отнюдь не	1	1
62	то он уже	1	1
63	в самом деле	1	1
64	когда мы ее	1	1
65	мы можем назвать	2	1
66	общего не имеет	1	1
67	может быть в	1	1
68	для чего же	1	1
69	само собою ясно	1	1
