1	в то же	3	5
2	то же время	3	5
3	и в частности	1	2
4	в году в	1	2
5	в отличие от	2	2
6	но все же	2	2
7	в том что	10	2
8	точно так же	3	2
9	в данном случае	1	2
10	и в самом	2	2
11	о том что	1	2
12	с первого же	2	2
13	к тому что	1	1
14	то и дело	1	1
15	бы и в	1	1
16	с самого начала	1	1
17	хотя бы и	2	1
18	что все это	1	1
19	не правда ли	2	1
20	после того как	1	1
21	смысле этого слова	1	1
22	не могут быть	1	1
23	и то что	1	1
24	по сравнению с	1	1
25	и т п	24	1
26	и что же?	1	1
27	что он не	1	1
28	в этом случае	2	1
29	в связи с	3	1
30	быть не так	1	1
31	что я не	3	1
32	по природе своей	1	1
33	бы может быть	1	1
34	в своей книге	1	1
35	в виде отдельных	1	1
36	за что не	1	1
37	сам по себе	1	1
38	на русский язык	1	1
39	во всяком случае	5	1
40	и до конца	1	1
41	не может быть	4	1
42	несмотря на все	1	1
43	ни за что	1	1
44	и в сфере	1	1
45	вместо того чтобы	1	1
46	я не хочу	1	1
47	тем не менее	5	1
48	в самом деле	7	1
49	ту же мысль	1	1
50	может быть не	1	1
51	первого же взгляда	1	1
52	не только нет	1	1
53	в конце концов	3	1
54	как и в	1	1
55	в виду не	1	1
56	то вряд ли	1	1
