N	3gram	Berdyaev_M_1	Stilisti
1	для того чтобы	2	7
2	в зависимости от	1	7
3	прежде всего в	2	4
4	заключает в себе	3	3
5	не только в	2	3
6	в конце концов	2	3
7	но и в	4	3
8	о том что	1	2
9	что иное как	1	2
10	в разных местах	1	2
11	как бы в	1	2
12	не было бы	5	2
13	в значительной степени	1	2
14	не что иное	1	2
15	вместе с тем	5	2
16	не так как	1	2
17	не может быть	17	2
18	и не было	1	1
19	был только один	1	1
20	жизни и в	1	1
21	даже и в	1	1
22	по сравнению с	1	1
23	и характер его	1	1
24	человек не может	2	1
25	мы увидим что	3	1
26	одну и ту	1	1
27	тем что он	2	1
28	и никогда не	1	1
29	ключ к пониманию	1	1
30	к которому он	1	1
31	хотя бы и	2	1
32	но не только	1	1
33	бросается в глаза	1	1
34	ведь может быть	1	1
35	в том что	1	1
36	между этими двумя	1	1
37	и та же	1	1
38	и не может	2	1
39	можно было бы	1	1
40	по отношению к	2	1
41	уже не только	2	1
42	мы имеем в	1	1
43	одной из сторон	1	1
44	одна и та	1	1
45	и ту же	1	1
46	сознание как бы	1	1
47	это прежде всего	1	1
48	нет и не	1	1
49	уж конечно не	2	1
50	в самом деле	1	1
51	в себе и	1	1
52	не может не	2	1
53	всего того что	1	1
54	до сих пор	2	1
