N	4gram	Vygotskiy__5	Dialekti
1	одно и то же	1	4
2	не что иное как	1	3
3	в то время как	4	3
4	в том смысле что	1	3
5	есть не что иное	1	2
6	в том что он	2	1
7	уже сама по себе	1	1
8	с одной стороны и	1	1
9	между тем и другим	1	1
10	и вместе с тем	1	1
11	вопрос о том что	1	1
12	друг с другом что	1	1
13	с самого начала что	2	1
14	и в другом случае	1	1
15	так же как и	1	1
16	заключается в том что	4	1
17	по самой своей природе	2	1
18	есть одно и то	1	1
19	то время как в	1	1
20	по одному тому что	1	1
21	все более и более	1	1
