N	3gram	Berdyaev_M_1	formyVre
1	и т п	1	11
2	для того чтобы	2	7
3	не только в	2	5
4	имеем в виду	1	3
5	но и в	4	3
6	во всех этих	1	3
7	в том что	1	3
8	прежде всего в	2	2
9	до сих пор	2	2
10	он не был	1	2
11	и та же	1	2
12	не было бы	5	2
13	может быть и	1	2
14	одна и та	1	2
15	на протяжении всего	1	2
16	это значит что	3	2
17	мы имеем в	1	2
18	не может не	2	1
19	мир в котором	1	1
20	было бы и	1	1
21	а в частности	1	1
22	никогда не было	1	1
23	не значит конечно	1	1
24	он ни был	1	1
25	а вовсе не	1	1
26	значит конечно что	1	1
27	кто бы он	1	1
28	оно не может	1	1
29	есть прежде всего	1	1
30	что в мире	1	1
31	они не могут	1	1
32	как и все	1	1
33	в конце концов	2	1
34	что он не	2	1
35	в отличие от	1	1
36	между тем как	1	1
37	не меньше чем	1	1
38	но он не	2	1
39	иной мир но	1	1
40	вместе с тем	5	1
41	и у других	1	1
42	от плоти и	2	1
43	то время как	2	1
44	что в основе	1	1
45	в иной мир	2	1
46	быть и речи	1	1
47	по сравнению с	1	1
48	не до конца	1	1
49	мира и человека	1	1
50	это не значит	2	1
51	все более и	1	1
52	с чем не	1	1
53	он не знает	2	1
54	не может быть	17	1
55	что до сих	1	1
56	в себе самом	1	1
57	бы он ни	1	1
58	но в конце	1	1
59	в то время	2	1
60	образ человека в	1	1
61	и вместе с	4	1
62	о том что	1	1
63	с тем что	3	1
64	ни с чем	1	1
65	более и более	1	1
66	себя в них	1	1
67	выходит за пределы	1	1
68	плоть от плоти	2	1
69	уже не только	2	1
70	и во всем	1	1
71	мир для него	1	1
72	оказал влияние на	1	1
73	как бы в	1	1
74	и в нем	3	1
75	в себе в	1	1
76	что и в	1	1
