N	3gram	Nazirov_Tv_1	RusskieA
1	в том что	6	18
2	в данном случае	2	6
3	и т д	1	5
4	вместе с тем	1	4
5	и в других	1	4
6	о том что	5	4
7	в отличие от	1	3
8	но она не	1	2
9	тем не менее	2	2
10	что иное как	1	2
11	в своей книге	1	2
12	на самом же	1	2
13	они представляют собой	1	2
14	не что иное	1	2
15	самом же деле	1	2
16	бросается в глаза	1	2
17	с одной стороны	1	2
18	том что в	2	1
19	не может не	1	1
20	было бы говорить	1	1
21	еще далеко не	1	1
22	в настоящее время	1	1
23	как это имеет	1	1
24	в том же	1	1
25	может быть назван	1	1
26	те и другие	1	1
27	но все это	1	1
28	далеко не так	1	1
29	в первую очередь	1	1
30	а может быть	1	1
31	то что в	1	1
32	а вместе с	1	1
33	но это не	1	1
34	в момент наивысшего	1	1
35	в этой связи	2	1
36	бы говорить о	1	1
37	на первый взгляд	1	1
38	в разные стороны	1	1
39	это имеет место	1	1
40	дело в том	3	1
41	с другой стороны	1	1
42	в свою очередь	1	1
43	можно сказать что	2	1
44	из гроба и	1	1
45	дело не в	1	1
46	как и в	1	1
47	к жизни в	1	1
