N	3gram	Propp_Isto_5	Hudozhes
1	о том что	4	9
2	то же время	1	8
3	по отношению к	2	8
4	в то же	1	8
5	в том что	2	6
6	в самом деле	1	4
7	с точки зрения	1	3
8	в связи с	4	3
9	тем не менее	4	3
10	как и в	2	3
11	и т д	18	3
12	в тот момент	1	2
13	о том как	2	2
14	мы уже знаем	1	2
15	при встрече с	1	2
16	только в том	1	2
17	что он не	1	2
18	до сих пор	2	2
19	не только в	2	2
20	не в том	1	2
21	что у него	1	2
22	не может быть	3	2
23	тот момент когда	1	2
24	на то что	2	2
25	к тому времени	1	1
26	на том что	2	1
27	потому что он	2	1
28	уже знаем что	1	1
29	состоит в том	1	1
30	что он один	1	1
31	служит не только	1	1
32	на самом деле	1	1
33	одной стороны и	1	1
34	же как и	2	1
35	не имеют никакого	1	1
36	с самого начала	1	1
37	на этом свете	1	1
38	по своему содержанию	1	1
39	которой он сам	1	1
40	всем свете нет	1	1
41	в себе и	1	1
42	в отличие от	1	1
43	с этой точки	1	1
44	в это время	2	1
45	еще ничего не	1	1
46	только один из	1	1
47	объясняется тем что	1	1
48	и потому что	1	1
49	что в жизни	1	1
50	а не человека	1	1
51	его и т	1	1
52	не только для	1	1
53	мы уже говорили	1	1
54	еще и потому	1	1
55	во всяком случае	1	1
56	вне всякого сомнения	1	1
57	в данном случае	2	1
58	на наших глазах	1	1
59	его мы здесь	1	1
60	в свою очередь	1	1
61	этой точки зрения	1	1
62	с тем что	1	1
63	едва ли можно	1	1
64	но и для	1	1
65	но все же	4	1
66	не было ни	1	1
67	в частности с	1	1
68	мы не знаем	2	1
69	в том смысле	1	1
70	с одной стороны	7	1
71	в него и	1	1
72	же как мы	1	1
73	друг с другом	2	1
74	во многих отношениях	1	1
75	момент когда он	1	1
76	он живет в	2	1
