N	3gram	Losev_Prob_2	Komedia
1	в том что	4	5
2	вместе с тем	1	4
3	о том что	14	4
4	для того чтобы	2	4
5	в том числе	2	3
6	так или иначе	6	3
7	в связи с	5	3
8	до тех пор	4	3
9	в то время	1	3
10	в последние десятилетия	2	3
11	в то же	4	3
12	только потому что	1	2
13	не говоря уже	4	2
14	в этом смысле	5	2
15	в частности в	2	2
16	до сих пор	4	2
17	говоря уже о	4	2
18	бы то ни	2	2
19	то время как	1	2
20	то ни было	1	2
21	с одной стороны	5	2
22	во всяком случае	10	2
23	можно было бы	2	2
24	должны были бы	2	1
25	все тот же	1	1
26	имеется в виду	2	1
27	и меньше всего	1	1
28	многие из этих	1	1
29	в какой мере	1	1
30	в самом деле	2	1
31	никак не может	2	1
32	свою роль в	1	1
33	на первый план	3	1
34	только в том	4	1
35	ли в этом	1	1
36	том случае если	1	1
37	и в то	1	1
38	с самого начала	2	1
39	но и в	3	1
40	по своему содержанию	1	1
41	а может быть	2	1
42	то что в	1	1
43	что в нем	1	1
44	как таковой и	1	1
45	том числе и	2	1
46	точно так же	3	1
47	может быть даже	1	1
48	тому и другому	1	1
49	и вовсе не	4	1
50	в том случае	2	1
51	сказать что их	1	1
52	это видно из	1	1
53	нечто такое что	1	1
54	к нему же	1	1
55	представление о том	1	1
56	той или иной	1	1
57	в этой области	3	1
58	в этих словах	1	1
59	как будто бы	5	1
60	обстоит дело с	1	1
61	значение и их	1	1
62	тот или другой	1	1
63	положение дел в	1	1
64	само по себе	2	1
65	даже как будто	1	1
66	с другой стороны	5	1
67	не может быть	3	1
68	того или иного	5	1
69	более или менее	4	1
70	только в связи	2	1
71	то обстоятельство что	1	1
72	уже в самом	1	1
73	так и в	1	1
74	связи с этим	2	1
75	то что не	2	1
76	хотя бы в	1	1
77	но никак не	2	1
78	не только в	2	1
79	но все же	1	1
80	ни о чем	1	1
81	друг от друга	2	1
82	как о том	1	1
83	в каждом из	1	1
84	и не имеет	1	1
85	тем не менее	12	1
86	к выводу что	1	1
87	своему содержанию и	1	1
