N	2gram	Propp_Isto_4	NovoeSre
1	а не	6	17
2	и в	26	16
3	не может	6	16
4	и не	9	11
5	и есть	2	10
6	в эпоху	1	9
7	что в	14	9
8	как не	1	8
9	в том	3	8
10	жизни и	1	8
11	он не	7	8
12	в этом	7	7
13	может быть	14	7
14	как и	7	7
15	средние века	2	7
16	не в	5	6
17	ни в	2	6
18	никогда не	2	6
19	лишь в	2	6
20	но это	3	6
21	не знает	1	6
22	с ее	1	5
23	в ней	1	5
24	и к	1	5
25	не только	15	5
26	все это	2	5
27	в нем	2	5
28	о том	4	4
29	и мы	1	4
30	перестает быть	1	4
31	в них	1	4
32	то что	16	4
33	это не	5	4
34	прежде всего	1	4
35	не было	1	4
36	не менее	2	4
37	не имеет	3	4
38	и все	2	4
39	потому что	6	4
40	с другой	4	3
41	в средние	2	3
42	должна быть	2	3
43	вопрос о	4	3
44	еще не	6	3
45	во всех	1	3
46	в истории	2	3
47	наряду с	3	3
48	как в	7	3
49	духа и	1	3
50	конечно не	2	3
51	к ним	2	3
52	подобно тому	1	3
53	перейти к	1	3
54	но и	12	3
55	не есть	2	3
56	и пр	11	3
57	с тем	2	3
58	бога и	1	3
59	в своей	4	3
60	к жизни	1	3
61	тому как	1	3
62	она не	3	3
63	в основе	1	3
64	к ее	1	3
65	к тому	1	3
66	в наши	1	3
67	сказать что	2	3
68	и это	1	2
69	же как	13	2
70	связана с	2	2
71	силы и	1	2
72	это и	5	2
73	время как	1	2
74	роль в	1	2
75	не имеют	1	2
76	к созданию	1	2
77	так и	10	2
78	мы не	1	2
79	и с	5	2
80	для этого	1	2
81	мира а	1	2
82	но она	1	2
83	вот почему	1	2
84	и что	5	2
85	и на	2	2
86	в религии	3	2
87	но не	5	2
88	к богу	1	2
89	в центре	1	2
90	с этим	2	2
91	ни к	1	2
92	хотя и	2	2
93	но в	5	2
94	все эти	3	2
95	себя в	2	2
96	думать что	1	2
97	есть в	2	2
98	в себе	2	2
99	уже не	5	2
100	вернуться к	1	2
101	не могла	1	2
102	ли есть	1	2
103	не к	2	2
104	том чтобы	1	2
105	у него	5	2
106	что она	3	2
107	в одну	2	2
108	и даже	4	2
109	зависит от	1	2
110	для чего	1	2
111	но я	1	2
112	том что	3	2
113	вместе с	6	2
114	так же	18	2
115	не знал	1	2
116	такого рода	2	2
117	мир и	1	2
118	другой стороны	4	2
119	трудно будет	1	2
120	по существу	3	2
121	как будто	1	2
122	войны и	1	2
123	как это	3	2
124	такой же	1	2
125	но для	2	2
126	в то	1	2
127	одна из	2	2
128	формы и	2	2
129	и весь	1	2
130	в русском	1	2
131	хотя бы	2	2
132	а в	8	2
133	когда мы	1	2
134	могут быть	6	2
135	что образ	2	1
136	небом и	2	1
137	он может	2	1
138	переход от	1	1
139	средних веков	1	1
140	было то	1	1
141	чтобы быть	1	1
142	приводит к	1	1
143	слова а	1	1
144	был и	1	1
145	в образе	3	1
146	с собой	5	1
147	на нее	1	1
148	явление он	1	1
149	мы уже	5	1
150	и которые	1	1
151	конечно есть	1	1
152	он также	2	1
153	вопрос этот	2	1
154	и трудно	1	1
155	с ним	1	1
156	можно сказать	1	1
157	смысле и	1	1
158	на себя	4	1
159	то это	5	1
160	богом он	1	1
161	под этим	1	1
162	в виду	1	1
163	зависимости от	1	1
164	еще при	1	1
165	на нем	5	1
166	на них	1	1
167	в чем	1	1
168	и во	2	1
169	нет у	1	1
170	не могут	2	1
171	своего рода	1	1
172	к нему	6	1
173	нем не	1	1
174	и власть	1	1
175	то он	1	1
176	переходит в	3	1
177	в его	5	1
178	в эти	1	1
179	культуру и	1	1
180	но нет	1	1
181	себе и	1	1
182	не хотел	1	1
183	и только	5	1
184	и она	1	1
185	религия в	1	1
186	к ложным	1	1
187	будет но	1	1
188	как некогда	1	1
189	к которому	1	1
190	в своем	2	1
191	что нет	1	1
192	на человека	1	1
193	говорит что	2	1
194	человека в	1	1
195	что он	10	1
196	особое место	1	1
197	только в	3	1
198	во всем	3	1
199	по своей	2	1
200	вступление в	1	1
201	в этот	4	1
202	к чему	1	1
203	не хочет	2	1
204	есть вопрос	1	1
205	он действует	1	1
206	то время	1	1
207	он в	4	1
208	и жизни	1	1
209	из этих	3	1
210	это показывает	1	1
211	и у	5	1
212	уже в	2	1
213	в большинстве	1	1
214	дальше и	1	1
215	вообще не	1	1
216	слишком далеко	1	1
217	бог не	1	1
218	раньше чем	5	1
219	вера в	1	1
220	что вообще	1	1
221	большинстве случаев	1	1
222	из них	2	1
223	одному из	1	1
224	все еще	3	1
225	земли и	2	1
226	и их	2	1
227	жизнью и	1	1
228	не для	1	1
229	друг друга	1	1
230	не случайно	2	1
231	людей и	1	1
232	тем что	5	1
233	к той	1	1
234	в нее	1	1
235	от того	2	1
236	и вместе	1	1
237	но все	5	1
238	на заре	1	1
239	этом он	1	1
240	во власти	1	1
241	возможно что	2	1
242	них не	1	1
243	а по	4	1
244	знает что	1	1
245	на ее	1	1
246	нельзя сказать	1	1
247	было бы	2	1
248	он есть	1	1
249	что не	1	1
250	социальной жизни	1	1
251	обратиться к	1	1
252	связано с	1	1
253	их не	2	1
254	не верит	1	1
255	превращается в	7	1
256	а на	4	1
257	очень любят	1	1
258	они не	1	1
259	в этой	2	1
260	ничем не	1	1
261	не на	3	1
262	этого не	2	1
263	власти и	1	1
264	не всегда	6	1
265	он стремится	1	1
266	и поставил	1	1
267	долгое время	1	1
268	какую угодно	1	1
269	человеческой жизни	1	1
270	когда она	1	1
271	новые формы	1	1
272	что мы	3	1
273	посвящения в	1	1
274	он и	1	1
275	которые будут	1	1
276	в этих	7	1
277	во время	7	1
278	уже давно	1	1
279	но если	1	1
280	она сама	1	1
281	до этого	1	1
282	на это	2	1
283	к себе	3	1
284	в котором	1	1
285	и процесс	1	1
286	рода и	1	1
287	установить что	2	1
288	одна сторона	1	1
289	власть над	11	1
290	не должно	1	1
291	у нас	2	1
292	мы опять	2	1
293	в зависимости	1	1
294	другой же	1	1
295	но сам	1	1
296	в силу	5	1
297	с миром	3	1
298	но он	4	1
299	быть только	1	1
300	в мир	1	1
301	эти черты	1	1
302	мы должны	5	1
303	и более	3	1
304	их в	7	1
305	в человеческом	4	1
306	что этот	4	1
307	по себе	2	1
308	в это	1	1
309	совершенно так	6	1
310	нас к	7	1
311	и очень	1	1
312	ему все	1	1
313	будто бы	1	1
314	нет никакого	1	1
315	сих пор	5	1
316	так как	9	1
317	должны быть	1	1
318	неба и	1	1
319	в более	1	1
320	не по	2	1
321	это уже	2	1
322	между небом	1	1
323	и имеет	1	1
324	до сих	5	1
325	так много	2	1
326	о природе	3	1
327	которая в	1	1
328	а к	1	1
329	стороны из	1	1
330	идут на	1	1
331	или иная	1	1
332	они являются	1	1
333	или нет	1	1
334	явление в	1	1
335	которое можно	1	1
336	к этой	3	1
337	к ней	1	1
338	есть такой	1	1
339	чтобы эти	1	1
340	и его	10	1
341	а также	3	1
342	вот этот	2	1
343	или не	1	1
344	но наряду	1	1
345	уже нет	3	1
346	речи о	1	1
347	вступает в	1	1
348	гораздо больше	1	1
349	в области	2	1
350	только одна	2	1
351	ему не	1	1
352	иного мира	1	1
353	на смену	3	1
354	есть только	3	1
355	во все	2	1
356	есть и	2	1
357	на путь	1	1
358	этот переход	1	1
359	такое разнообразие	1	1
360	то они	1	1
361	который не	1	1
362	как на	1	1
363	все что	4	1
364	том числе	1	1
365	он часто	1	1
