N	2gram	Bakhtin_Pr_1	IolandNe
1	и с	17	3
2	должен быть	2	2
3	и не	42	2
4	в этом	15	2
5	он не	3	2
6	что в	7	2
7	ничего не	6	2
8	бы что	1	2
9	себя в	2	1
10	все это	3	1
11	автора и	1	1
12	нисколько не	1	1
13	и др	8	1
14	все четыре	1	1
15	и в	38	1
16	только что	1	1
17	и о	5	1
18	я не	2	1
19	бы в	1	1
20	как только	3	1
21	не остается	2	1
22	и со	1	1
23	с другой	7	1
24	это было	1	1
25	а в	6	1
26	вплоть до	1	1
27	художественного творчества	12	1
28	так то	1	1
29	того что	2	1
30	стали бы	1	1
31	в художественном	20	1
32	не дает	2	1
33	произведения это	2	1
34	и без	1	1
35	как о	1	1
36	другой стороны	4	1
37	эти научные	1	1
38	нее и	1	1
39	для него	1	1
40	а также	1	1
41	нам в	1	1
42	в основе	5	1
43	в значительной	2	1
44	говорить о	3	1
45	понятий и	2	1
46	художественном творчестве	10	1
47	есть только	2	1
48	видит в	1	1
49	отношению к	19	1
50	так и	5	1
51	произведения и	2	1
52	того чтобы	2	1
53	ученый но	1	1
54	никогда не	5	1
55	основе всего	1	1
56	о ней	1	1
57	из подполья	1	1
58	и серьезно	1	1
59	жизни и	1	1
60	бы все	1	1
61	и ничего	1	1
62	тех же	1	1
63	тем что	2	1
64	в целом	3	1
65	исследователь должен	1	1
66	по поводу	2	1
67	и литература	1	1
68	по отношению	21	1
69	в них	5	1
70	все эти	5	1
71	по существу	2	1
72	ибо и	1	1
73	от нее	1	1
74	со всеми	3	1
75	если бы	3	1
76	для того	2	1
