N	2gram	Nazirov_Vr_1	Istorich
1	и в	8	25
2	вместе с	2	22
3	что он	4	22
4	может быть	4	17
5	представление о	1	17
6	т е	3	16
7	не только	9	13
8	но и	7	13
9	в его	3	12
10	уже не	2	11
11	и не	5	11
12	в этом	8	10
13	тем что	3	10
14	все же	6	10
15	и его	3	9
16	его в	3	9
17	с другой	1	9
18	таким образом	2	9
19	героя в	1	9
20	еще не	2	8
21	что в	7	8
22	связи с	3	8
23	и что	8	8
24	мы знаем	2	8
25	другой стороны	1	8
26	том что	3	8
27	в нем	6	7
28	как и	6	7
29	во время	2	7
30	потому что	1	7
31	о том	4	7
32	то что	7	7
33	в качестве	1	7
34	при помощи	2	7
35	но это	2	7
36	тот кто	1	7
37	в частности	1	7
38	как в	1	6
39	это не	4	6
40	не может	2	6
41	в этих	1	6
42	и он	2	6
43	не совсем	1	6
44	себя в	1	6
45	прежде всего	1	6
46	этот мотив	1	6
47	могут быть	1	6
48	в том	3	6
49	ясно что	1	5
50	в ней	4	5
51	но не	1	5
52	с этим	1	5
53	что это	1	5
54	живет в	1	5
55	не будем	1	5
56	так же	4	5
57	в него	2	5
58	для нас	4	5
59	же как	2	4
60	и это	2	4
61	то же	5	4
62	в ее	1	4
63	в истории	4	4
64	его на	2	4
65	он не	3	4
66	не всегда	1	4
67	тем не	1	4
68	не менее	2	4
69	того как	1	4
70	что у	3	4
71	наряду с	3	4
72	с ним	4	4
73	можно проследить	1	4
74	в основном	1	4
75	все это	4	4
76	в связи	3	4
77	также что	1	3
78	ему в	1	3
79	это же	1	3
80	если в	1	3
81	как показал	1	3
82	по которому	1	3
83	и как	3	3
84	в целом	1	3
85	в этой	2	3
86	их в	2	3
87	человека в	3	3
88	предположение что	1	3
89	не ясно	1	3
90	нет необходимости	1	3
91	в то	5	3
92	в русской	3	3
93	друг друга	1	3
94	никогда не	2	3
95	и с	6	3
96	и вообще	1	3
97	можно бы	1	3
98	о нем	6	3
99	но мы	1	3
100	затем в	1	3
