N	3gram	Tiupa_Teor_1	Marksizm
1	с точки зрения	3	20
2	не может быть	4	13
3	бы то ни	1	8
4	то ни было	1	8
5	в связи с	1	7
6	и того же	3	5
7	одного и того	3	5
8	в отличие от	6	5
9	с другой стороны	5	5
10	всех без исключения	3	4
11	в отношении к	1	4
12	то же самое	1	3
13	и здесь мы	1	3
14	может быть и	2	3
15	все без исключения	1	3
16	то же время	5	3
17	в первом случае	1	3
18	можно сказать что	2	3
19	в большинстве случаев	1	3
20	в то же	5	3
21	для того чтобы	1	3
22	в том что	8	3
23	внутренней речи как	1	2
24	– все это	1	2
25	в данный момент	2	2
26	в том числе	2	2
27	в знаковом материале	1	2
28	сама по себе	1	2
29	является одним из	1	2
30	том числе и	1	2
31	точки зрения не	1	2
32	со всех сторон	1	2
33	так же как	1	2
34	но в то	1	2
35	себе отчет в	1	2
36	слова как и	1	2
37	не могут быть	2	2
38	отношение знака к	3	2
39	по отношению к	4	2
40	в свою очередь	2	2
41	в этом смысле	2	2
42	тем не менее	3	2
43	и в сущности	1	1
44	место лишь в	1	1
45	совпадая со своей	1	1
46	ни к каким	1	1
47	этого слова как	1	1
48	по ту сторону	1	1
49	подобно тому как	1	1
50	а между тем	1	1
51	как это делает	1	1
52	в одной из	1	1
53	языка но и	1	1
54	тот или иной	2	1
55	до известной степени	2	1
56	не менее чем	1	1
57	в литературе в	1	1
58	могли бы быть	1	1
59	в основе своей	1	1
60	отчет в том	1	1
61	он ни был	1	1
62	языка в частности	1	1
63	он тем не	2	1
64	ту или иную	1	1
65	так или иначе	4	1
66	– не может	1	1
67	в значительной степени	1	1
68	к субъекту и	1	1
69	в нашем случае	2	1
70	значение дело здесь	1	1
71	может служить знаком	1	1
72	с одной стороны	2	1
73	точки зрения и	1	1
74	в следующей главе	1	1
75	а в том	1	1
76	в целом ряде	1	1
77	принципиальное различие между	1	1
78	во внутренней речи	1	1
79	она могла бы	1	1
80	более или менее	2	1
81	в русском языке	1	1
82	между собой и	1	1
83	внутренней речи а	1	1
84	не только не	2	1
85	во времени и	1	1
86	ни к какой	1	1
87	в данном отношении	1	1
88	друг от друга	1	1
89	в данном контексте	1	1
90	таким образом и	1	1
91	к тому что	2	1
92	той или иной	1	1
93	речи как бы	1	1
