N	3gram	Medvedev_U_1	slovoVRo
1	не может быть	4	15
2	в этом случае	1	6
3	с одной стороны	1	5
4	то же время	3	4
5	в то же	3	4
6	в том что	2	4
7	в этом отношении	2	3
8	но в то	1	3
9	но прежде всего	1	2
10	более или менее	1	2
11	до сих пор	2	2
12	хотя бы и	2	2
13	на каждом шагу	2	2
14	не только в	1	2
15	не могут быть	2	2
16	никогда не может	1	2
17	в точном смысле	1	2
18	том что она	1	1
19	для всех этих	1	1
20	к проблеме художественного	1	1
21	его и в	1	1
22	и не только	1	1
23	на первый план	1	1
24	и в то	1	1
25	но конечно не	1	1
26	на то что	1	1
27	сводится именно к	1	1
28	конечно не в	1	1
29	а не только	1	1
30	по себе еще	1	1
31	в той же	1	1
32	таким образом на	1	1
33	ссылка на то	1	1
34	с другой стороны	3	1
35	в широком смысле	1	1
36	большей или меньшей	1	1
37	язык в его	1	1
38	конечно не приходится	1	1
39	у стерна у	1	1
40	тех или иных	2	1
41	и в различных	1	1
42	слово как таковое	1	1
43	и с другой	1	1
