N	3gram	Nazirov_Vr_1	EvropaiE
1	с точки зрения	2	16
2	в то же	4	15
3	то же время	4	14
4	и в то	1	8
5	в том что	2	6
6	так же как	1	5
7	и в этом	1	4
8	в этом смысле	1	3
9	в этом отношении	1	3
10	в известном смысле	1	3
11	во всяком случае	1	3
12	между прочим и	1	2
13	а тем более	1	2
14	но в то	2	2
15	заключается в том	1	2
16	по нашему мнению	1	2
17	с другой стороны	1	2
18	не может быть	2	2
19	в свою очередь	1	2
20	на то что	1	2
21	он сам в	1	1
22	в соответствии с	1	1
23	в том же	1	1
24	а также в	1	1
25	в свою пользу	1	1
26	в этот период	1	1
27	может быть и	1	1
28	не имеет никаких	1	1
29	на этот раз	1	1
30	в связи с	3	1
31	прочим и о	1	1
32	отцов и детей	4	1
33	в то время	1	1
34	связи с этим	1	1
35	речь идет о	1	1
36	россии в ее	1	1
37	независимо от того	1	1
