N	3gram	Ircho_Kome_3	Freidism
1	с точки зрения	3	11
2	по отношению к	3	8
3	во всяком случае	3	7
4	в самом деле	6	6
5	в то же	4	4
6	можно сказать что	1	4
7	то же время	4	4
8	в зависимости от	1	4
9	с самого начала	4	3
10	бы то ни	2	3
11	если бы он	3	3
12	для того чтобы	6	3
13	в конечном счете	2	3
14	в свою очередь	6	3
15	с одной стороны	3	2
16	зависимости от того	1	2
17	и таким путем	1	2
18	до сих пор	9	2
19	его отношение к	1	2
20	то ни было	2	2
21	и не нуждается	1	2
22	в конце концов	2	2
23	и не может	1	2
24	так и в	1	2
25	в отличие от	1	2
26	к отцу он	1	2
27	в этом отношении	2	2
28	то же самое	3	2
29	тем не менее	3	2
30	мы конечно не	1	1
31	о том что	4	1
32	с ним а	1	1
33	из них не	1	1
34	много лет тому	1	1
35	можно сделать вывод	1	1
36	но при этом	1	1
37	по сравнению с	2	1
38	и без того	1	1
39	то обстоятельство что	2	1
40	из того же	2	1
41	и с его	1	1
42	отца с сыном	1	1
43	равно как и	1	1
44	только один из	1	1
45	таким образом и	1	1
46	навлекает на себя	1	1
47	кем иным как	1	1
48	что и в	2	1
49	имеем в виду	1	1
50	по отношению ко	2	1
51	в которой мы	1	1
52	ничего общего с	1	1
53	в том что	9	1
54	в этом случае	2	1
55	сделать вывод что	1	1
56	отнюдь не является	1	1
57	все тот же	1	1
58	в то время	2	1
59	и т д	1	1
60	бы он был	1	1
61	но вместе с	1	1
62	в пределах того	1	1
63	лет тому назад	4	1
64	ничуть не лучше	1	1
65	половое общение с	1	1
66	же что и	1	1
67	и в отношении	1	1
68	далеко не всегда	1	1
69	и все его	1	1
70	мы имеем в	1	1
71	ни разу не	1	1
72	сих пор не	1	1
73	конечно не приходится	1	1
74	в основе своей	1	1
75	но все же	2	1
76	но как раз	1	1
77	бы он не	1	1
78	еще не знает	1	1
79	такое же положение	1	1
80	то что он	1	1
81	потому что по	1	1
82	не нуждается в	1	1
83	может быть все	1	1
84	по крайней мере	1	1
