N	3gram	Voloshinov_1	Literetu
1	то же время	5	9
2	в то же	5	9
3	не может быть	3	7
4	с одной стороны	1	6
5	в конечном счете	1	5
6	в том что	4	5
7	в хх веке	1	4
8	с точки зрения	10	3
9	в этом отношении	2	3
10	в данном случае	3	3
11	по отношению к	9	3
12	о том что	1	2
13	в этом случае	1	2
14	по крайней мере	1	2
15	одно и то	1	2
16	это прежде всего	1	2
17	и то же	1	2
18	в свое время	1	2
19	тем не менее	2	2
20	том что в	1	1
21	нет и не	1	1
22	и наконец в	1	1
23	та сила которая	1	1
24	что же касается	1	1
25	и не может	1	1
26	что он не	1	1
27	в отличие от	1	1
28	по отношению ко	2	1
29	является одним из	1	1
30	бы то ни	1	1
31	только то что	2	1
32	в себе и	1	1
33	не могут быть	3	1
34	из того что	1	1
35	вместе с ним	1	1
36	жизни и в	1	1
37	быть может наиболее	1	1
38	ничего общего с	1	1
39	но и его	1	1
40	в данный момент	1	1
41	в себя и	1	1
42	для искусства в	1	1
43	во всех этих	1	1
44	отношению ко всему	1	1
45	повлечь за собой	1	1
46	в целом ряде	1	1
47	себе а в	1	1
48	все то что	2	1
49	при этом как	1	1
50	мы не можем	1	1
51	из того же	1	1
52	может быть это	1	1
53	в свою очередь	1	1
54	на самом деле	2	1
55	и прежде всего	5	1
56	с ним а	1	1
57	всегда может быть	1	1
58	а с другой	1	1
59	и притом в	1	1
60	во многих отношениях	1	1
61	вовсе не является	1	1
62	быть не может	1	1
63	было бы наивно	2	1
64	для того чтобы	1	1
65	как мы видели	4	1
