N	3gram	Vinokur_Ku_3	formyVre
1	и т п	41	11
2	с точки зрения	16	8
3	в связи с	4	7
4	для того чтобы	11	7
5	не только в	3	5
6	то же время	1	4
7	в то же	1	4
8	в том числе	2	3
9	и в то	1	3
10	но и в	1	3
11	и в этом	4	3
12	и прежде всего	1	3
13	в том что	8	3
14	и т д	8	3
15	в другом месте	1	2
16	прежде всего в	1	2
17	и в поэзии	1	2
18	то же самое	1	2
19	в этом случае	4	2
20	до сих пор	8	2
21	может быть и	1	2
22	мы имеем в	1	2
23	друг от друга	1	2
24	тем более что	2	2
25	и того же	2	1
26	и пр и	1	1
27	сих пор еще	3	1
28	было бы и	1	1
29	в той или	2	1
30	а вовсе не	1	1
31	на самом деле	3	1
32	есть прежде всего	1	1
33	но в той	1	1
34	они не могут	1	1
35	только в том	2	1
36	тот или иной	2	1
37	что он не	1	1
38	в отличие от	2	1
39	наряду с этим	1	1
40	по своему содержанию	1	1
41	а так как	1	1
42	дело идет об	1	1
43	но в этом	1	1
44	это вовсе не	1	1
45	значении этого слова	1	1
46	но и как	1	1
47	с этой точки	1	1
48	вместе с тем	1	1
49	только для того	1	1
50	так как он	2	1
51	в данном случае	4	1
52	т п ведь	1	1
53	что на самом	1	1
54	с одной стороны	4	1
55	можно говорить о	3	1
56	или иной форме	1	1
57	в большом количестве	1	1
58	это не значит	1	1
59	все для того	1	1
60	в связи со	1	1
61	он не знает	1	1
62	с другой стороны	3	1
63	не может быть	3	1
64	бы не было	1	1
65	именно в том	1	1
66	этой точки зрения	1	1
67	самом деле может	1	1
68	из этих форм	1	1
69	в то время	1	1
70	и вместе с	1	1
71	в тех же	1	1
72	в свою очередь	1	1
73	о том что	3	1
74	в одном из	1	1
75	в результате и	1	1
76	с тем что	1	1
77	в котором в	1	1
78	выходит за пределы	1	1
79	т п в	3	1
80	но все же	1	1
81	не выходит за	1	1
82	также и в	1	1
83	одного и того	2	1
84	в данном отношении	1	1
85	а вместе с	1	1
86	сюда же относится	1	1
87	уже не только	2	1
88	к тому что	1	1
89	между словом и	1	1
90	пр и пр	1	1
91	так как на	1	1
92	что и в	2	1
93	мы наблюдаем в	1	1
94	как мы видели	2	1
95	той или иной	5	1
96	и вопрос о	1	1
