N	2gram	Losev_Prob_5	Problema
1	то есть	21	46
2	в его	12	43
3	и не	12	42
4	и в	30	38
5	не может	5	27
6	может быть	7	26
7	как бы	6	22
8	по отношению	2	21
9	отнюдь не	4	19
10	отношению к	2	19
11	и с	5	17
12	и его	6	16
13	в этом	17	15
14	в нем	6	15
15	и т	1	14
16	только в	9	13
17	прежде всего	6	13
18	но не	7	12
19	художественного творчества	8	12
20	в искусстве	1	12
21	в области	2	11
22	ни в	4	11
23	и для	6	11
24	не входит	2	10
25	отношение к	2	10
26	таким образом	13	10
27	в их	1	10
28	к нему	3	10
29	не только	18	9
30	в поэзии	1	9
31	не имеет	1	9
32	его в	6	9
33	но и	13	9
34	и как	6	8
35	входит в	1	8
36	было бы	4	8
37	точки зрения	10	8
38	в том	12	8
39	и др	1	8
40	то что	18	8
41	еще не	3	7
42	в самом	5	7
43	вообще не	1	7
44	как и	7	7
45	не в	7	7
46	как мы	2	7
47	художественное творчество	5	7
48	с другой	6	7
49	между тем	2	7
50	с помощью	2	7
51	в своей	22	7
52	что в	5	7
53	отношения к	1	6
54	самом деле	2	6
55	на основе	1	6
56	там где	1	6
57	в м	2	6
58	и наконец	1	6
59	не к	2	6
60	не всегда	3	6
61	с точки	8	6
62	и этим	1	6
63	ничего не	2	6
64	содержания и	1	6
65	мы можем	5	6
66	все же	9	6
67	а в	6	6
68	только как	1	6
69	тем как	2	5
70	в своем	11	5
71	все эти	2	5
72	при этом	4	5
73	то же	2	5
74	это не	2	5
75	в них	2	5
76	далеко не	4	5
77	творчества и	1	5
78	так и	7	5
79	и о	5	5
80	никогда не	7	5
81	с ним	3	5
82	конечно не	2	5
83	большинстве случаев	1	5
84	художника и	1	5
85	в большинстве	1	5
86	не на	1	5
87	а не	5	5
88	могут быть	1	5
89	быть только	3	5
90	на самом	1	4
91	в виду	3	4
92	в ней	3	4
93	как в	2	4
94	но в	9	4
95	в нашем	1	4
96	в себе	4	4
97	в данном	2	4
98	не менее	5	4
99	тем самым	1	4
100	в то	4	4
101	здесь не	7	4
102	в ее	3	4
103	данном случае	2	4
104	можно было	2	4
105	о том	12	4
106	с ними	1	4
107	в других	3	4
108	в форме	1	4
109	и только	2	4
110	что не	2	4
111	в романе	1	4
112	только по	1	4
113	и потому	1	4
114	в более	1	4
115	себя самого	2	4
116	хотя бы	2	4
117	сказать что	9	4
118	другой стороны	6	4
119	также и	12	3
120	едва ли	4	3
121	которую мы	1	3
122	бы то	2	3
123	мы будем	2	3
124	нет и	1	3
125	кроме того	2	3
126	и к	4	3
127	творчество и	1	3
128	он не	3	3
129	то ни	2	3
130	а как	1	3
131	и тем	3	3
132	несмотря на	6	3
133	том что	17	3
134	тем не	5	3
135	на него	2	3
136	как его	1	3
137	же время	1	3
138	как только	1	3
139	слова но	1	3
140	и это	1	3
141	хотя и	8	3
142	и от	1	3
143	в дальнейшем	7	3
144	ясно что	4	3
145	искусства и	1	3
146	и должно	1	3
147	творчества в	1	3
148	этом смысле	3	3
149	но с	1	3
150	одной из	1	3
151	мы увидим	1	3
152	с одной	3	3
153	со всеми	2	3
154	вопроса о	1	3
155	слова не	1	3
156	и даже	14	3
157	себя и	1	3
158	одной стороны	3	3
159	на фоне	1	3
160	и на	6	3
161	в тех	1	3
162	здесь совершенно	1	3
163	да и	2	3
164	но это	1	3
165	все это	1	3
166	не больше	2	3
167	от него	1	3
168	и все	9	3
169	ни было	1	3
170	в таком	2	3
171	все что	2	3
172	они не	2	3
173	смысле слова	3	2
174	и есть	1	2
175	в котором	2	2
176	значение но	1	2
177	его не	2	2
178	их и	1	2
179	мы имеем	2	2
