N	4gram	Bakhtin_fo_2	Problemy
1	в то же время	4	12
2	и в то же	2	5
3	к себе самому и	1	4
4	бы он ни был	1	3
5	но в то же	1	3
6	мы уже говорили что	1	2
7	кто бы он ни	1	2
8	в той или иной	1	2
9	ни в чем не	1	2
10	на протяжении всего романа	2	2
11	той или иной форме	1	1
12	может быть и речи	1	1
13	и т д он	1	1
14	из уст в уста	1	1
15	но в конце концов	1	1
16	одного и того же	1	1
17	уст в уста в	1	1
18	в конце концов он	1	1
19	к себе самому к	1	1
20	и т п если	1	1
21	как мы уже говорили	1	1
22	и вместе с тем	1	1
23	не может быть и	1	1
24	что на самом деле	1	1
25	до сих пор еще	1	1
26	одно и то же	1	1
27	все более и более	1	1
28	отношение к себе самому	1	1
